,Oxygen_Consumption_Studies
46,https://www.fishbase.de/physiology/OxygenDataList.php?ID=23&GenusName=Callionymus&SpeciesName=lyra&fc=435&stockcode=34
47,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2743&GenusName=Campostoma&SpeciesName=anomalum&fc=122&stockcode=2939
48,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1900&GenusName=Caranx&SpeciesName=caballus&fc=314&stockcode=2096
49,https://www.fishbase.de/physiology/OxygenDataList.php?ID=71&GenusName=Caranx&SpeciesName=hippos&fc=314&stockcode=267
50,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1917&GenusName=Caranx&SpeciesName=sexfasciatus&fc=314&stockcode=2113
51,https://www.fishbase.de/physiology/OxygenDataList.php?ID=271&GenusName=Carassius&SpeciesName=auratus&fc=122&stockcode=285
52,https://www.fishbase.de/physiology/OxygenDataList.php?ID=270&GenusName=Carassius&SpeciesName=carassius&fc=122&stockcode=284
53,https://www.fishbase.de/physiology/OxygenDataList.php?ID=874&GenusName=Carcharhinus&SpeciesName=limbatus&fc=11&stockcode=890
54,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2965&GenusName=Catostomus&SpeciesName=commersonii&fc=125&stockcode=3161
55,https://www.fishbase.de/physiology/OxygenDataList.php?ID=2980&GenusName=Catostomus&SpeciesName=tahoensis&fc=125&stockcode=3176
56,https://www.fishbase.de/physiology/OxygenDataList.php?ID=361&GenusName=Centropristis&SpeciesName=striata&fc=289&stockcode=375
57,https://www.fishbase.de/physiology/OxygenDataList.php?ID=473&GenusName=Chaenocephalus&SpeciesName=aceratus&fc=384&stockcode=487
58,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5144&GenusName=Channa&SpeciesName=marulius&fc=431&stockcode=5382
59,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5143&GenusName=Channa&SpeciesName=orientalis&fc=431&stockcode=5381
60,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5147&GenusName=Channa&SpeciesName=punctata&fc=431&stockcode=5385
61,https://www.fishbase.de/physiology/OxygenDataList.php?ID=343&GenusName=Channa&SpeciesName=striata&fc=431&stockcode=357
62,https://www.fishbase.de/physiology/OxygenDataList.php?ID=477&GenusName=Channichthys&SpeciesName=rhinoceratus&fc=384&stockcode=491
63,https://www.fishbase.de/physiology/OxygenDataList.php?ID=80&GenusName=Chanos&SpeciesName=chanos&fc=98&stockcode=95
64,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5482&GenusName=Cheilodipterus&SpeciesName=quinquelineatus&fc=304&stockcode=5757
65,https://www.fishbase.de/physiology/OxygenDataList.php?ID=1735&GenusName=Chelon&SpeciesName=auratus&fc=359&stockcode=1931
66,https://www.fishbase.de/physiology/OxygenDataList.php?ID=5115&GenusName=Chelon&SpeciesName=dumerili&fc=359&stockcode=5351
