,Strains_Record
0,https://www.fishbase.de/Physiology/StrainList.php?id=1450
1,https://www.fishbase.de/Physiology/StrainList.php?id=82
2,https://www.fishbase.de/Physiology/StrainList.php?id=1399
3,https://www.fishbase.de/Physiology/StrainList.php?id=1387
4,https://www.fishbase.de/Physiology/StrainList.php?id=1396
5,https://www.fishbase.de/Physiology/StrainList.php?id=3
6,https://www.fishbase.de/Physiology/StrainList.php?id=2
7,https://www.fishbase.de/Physiology/StrainList.php?id=1420
