,Available_Electrophoretic_Studies
234,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2483&GenusName=Tilapia&SpeciesName=brevimanus
235,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2484&GenusName=Tilapia&SpeciesName=busumana
236,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4719&GenusName=Tilapia&SpeciesName=sparrmanii
237,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=372&GenusName=Trachurus&SpeciesName=declivis
238,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=366&GenusName=Trachurus&SpeciesName=japonicus
239,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=367&GenusName=Trachurus&SpeciesName=murphyi
240,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1979&GenusName=Trachurus&SpeciesName=novaezelandiae
241,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1365&GenusName=Trachurus&SpeciesName=trachurus
242,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=371&GenusName=Trachurus&SpeciesName=trecae
243,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2491&GenusName=Tylochromis&SpeciesName=jentinki
244,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=53897&GenusName=Valamugil&SpeciesName=formosae
245,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=6284&GenusName=Valencia&SpeciesName=hispanica
246,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=10462&GenusName=Valencia&SpeciesName=letourneuxi
247,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=479&GenusName=Zoarces&SpeciesName=viviparus
248,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=13018&GenusName=Zosterisessor&SpeciesName=ophiocephalus
