,Available_Electrophoretic_Studies
53,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4653&GenusName=Danio&SpeciesName=rerio
54,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=5110&GenusName=Dascyllus&SpeciesName=aruanus
55,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=23465&GenusName=Decapterus&SpeciesName=akaadsi
56,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=993&GenusName=Decapterus&SpeciesName=macarellus
57,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1938&GenusName=Decapterus&SpeciesName=macrosoma
58,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1939&GenusName=Decapterus&SpeciesName=maruadsi
59,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=12302&GenusName=Decapterus&SpeciesName=muroadsi
60,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=374&GenusName=Decapterus&SpeciesName=russelli
61,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=995&GenusName=Decapterus&SpeciesName=tabl
62,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=8062&GenusName=Diplodus&SpeciesName=bellottii
63,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2497&GenusName=Diplodus&SpeciesName=cervinus
64,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1753&GenusName=Diplodus&SpeciesName=sargus
65,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1754&GenusName=Diplodus&SpeciesName=vulgaris
66,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=66&GenusName=Engraulis&SpeciesName=encrasicolus
67,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=1663&GenusName=Engraulis&SpeciesName=japonicus
68,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4&GenusName=Engraulis&SpeciesName=ringens
69,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=258&GenusName=Esox&SpeciesName=lucius
70,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3405&GenusName=Etheostoma&SpeciesName=caeruleum
71,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3422&GenusName=Etheostoma&SpeciesName=fonticola
72,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3441&GenusName=Etheostoma&SpeciesName=microperca
73,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3456&GenusName=Etheostoma&SpeciesName=proeliare
74,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3468&GenusName=Etheostoma&SpeciesName=spectabile
75,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=13068&GenusName=Foetorepus&SpeciesName=masudai
76,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=308&GenusName=Gadus&SpeciesName=macrocephalus
77,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=69&GenusName=Gadus&SpeciesName=morhua
78,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=3215&GenusName=Gambusia&SpeciesName=affinis
79,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=2420&GenusName=Gasterosteus&SpeciesName=aculeatus
80,https://www.fishbase.de/Genetics/FishElecStudiesList.php?ID=4902&GenusName=Gobius&SpeciesName=auratus
