,Species_for_which_disease_information_is_available
79,https://www.fishbase.de/Diseases/diseasesList.php?ID=5425&StockCode=5687
80,https://www.fishbase.de/Diseases/diseasesList.php?ID=7187&StockCode=7298
81,https://www.fishbase.de/Diseases/diseasesList.php?ID=7857&StockCode=8167
82,https://www.fishbase.de/Diseases/diseasesList.php?ID=4688&StockCode=4906
83,https://www.fishbase.de/Diseases/diseasesList.php?ID=6704&StockCode=7025
84,https://www.fishbase.de/Diseases/diseasesList.php?ID=3612&StockCode=3808
85,https://www.fishbase.de/Diseases/diseasesList.php?ID=4475&StockCode=4673
86,https://www.fishbase.de/Diseases/diseasesList.php?ID=8080&StockCode=8391
87,https://www.fishbase.de/Diseases/diseasesList.php?ID=12868&StockCode=13199
88,https://www.fishbase.de/Diseases/diseasesList.php?ID=53115&StockCode=44088
89,https://www.fishbase.de/Diseases/diseasesList.php?ID=1302&StockCode=1320
90,https://www.fishbase.de/Diseases/diseasesList.php?ID=7326&StockCode=7626
91,https://www.fishbase.de/Diseases/diseasesList.php?ID=1929&StockCode=2125
92,https://www.fishbase.de/Diseases/diseasesList.php?ID=1893&StockCode=2089
93,https://www.fishbase.de/Diseases/diseasesList.php?ID=47653&StockCode=40048
94,https://www.fishbase.de/Diseases/diseasesList.php?ID=52120&StockCode=43415
95,https://www.fishbase.de/Diseases/diseasesList.php?ID=2438&StockCode=2632
96,https://www.fishbase.de/Diseases/diseasesList.php?ID=2173&StockCode=2372
97,https://www.fishbase.de/Diseases/diseasesList.php?ID=2189&StockCode=2388
98,https://www.fishbase.de/Diseases/diseasesList.php?ID=4679&StockCode=4897
99,https://www.fishbase.de/Diseases/diseasesList.php?ID=4778&StockCode=5002
100,https://www.fishbase.de/Diseases/diseasesList.php?ID=93&StockCode=107
101,https://www.fishbase.de/Diseases/diseasesList.php?ID=94&StockCode=108
102,https://www.fishbase.de/Diseases/diseasesList.php?ID=6595&StockCode=6917
103,https://www.fishbase.de/Diseases/diseasesList.php?ID=12006&StockCode=12331
104,https://www.fishbase.de/Diseases/diseasesList.php?ID=5462&StockCode=5738
105,https://www.fishbase.de/Diseases/diseasesList.php?ID=6519&StockCode=6840
106,https://www.fishbase.de/Diseases/diseasesList.php?ID=9282&StockCode=9604
107,https://www.fishbase.de/Diseases/diseasesList.php?ID=4721&StockCode=4943
108,https://www.fishbase.de/Diseases/diseasesList.php?ID=3579&StockCode=3775
109,https://www.fishbase.de/Diseases/diseasesList.php?ID=6089&StockCode=6403
110,https://www.fishbase.de/Diseases/diseasesList.php?ID=5180&StockCode=5419
111,https://www.fishbase.de/Diseases/diseasesList.php?ID=10805&StockCode=11128
112,https://www.fishbase.de/Diseases/diseasesList.php?ID=5189&StockCode=5428
113,https://www.fishbase.de/Diseases/diseasesList.php?ID=5191&StockCode=5430
114,https://www.fishbase.de/Diseases/diseasesList.php?ID=4677&StockCode=4895
115,https://www.fishbase.de/Diseases/diseasesList.php?ID=286&StockCode=300
116,https://www.fishbase.de/Diseases/diseasesList.php?ID=4765&StockCode=4989
117,https://www.fishbase.de/Diseases/diseasesList.php?ID=25855&StockCode=20379
118,https://www.fishbase.de/Diseases/diseasesList.php?ID=55033&StockCode=45574
119,https://www.fishbase.de/Diseases/diseasesList.php?ID=47&StockCode=57
120,https://www.fishbase.de/Diseases/diseasesList.php?ID=48530&StockCode=40777
121,https://www.fishbase.de/Diseases/diseasesList.php?ID=4768&StockCode=4992
122,https://www.fishbase.de/Diseases/diseasesList.php?ID=4471&StockCode=4669
123,https://www.fishbase.de/Diseases/diseasesList.php?ID=5501&StockCode=5780
124,https://www.fishbase.de/Diseases/diseasesList.php?ID=7406&StockCode=7708
125,https://www.fishbase.de/Diseases/diseasesList.php?ID=10879&StockCode=11203
126,https://www.fishbase.de/Diseases/diseasesList.php?ID=12253&StockCode=12579
127,https://www.fishbase.de/Diseases/diseasesList.php?ID=12255&StockCode=12581
128,https://www.fishbase.de/Diseases/diseasesList.php?ID=11304&StockCode=11629
129,https://www.fishbase.de/Diseases/diseasesList.php?ID=10368&StockCode=10690
130,https://www.fishbase.de/Diseases/diseasesList.php?ID=11089&StockCode=11413
131,https://www.fishbase.de/Diseases/diseasesList.php?ID=5234&StockCode=5474
132,https://www.fishbase.de/Diseases/diseasesList.php?ID=5240&StockCode=5480
133,https://www.fishbase.de/Diseases/diseasesList.php?ID=11096&StockCode=11420
134,https://www.fishbase.de/Diseases/diseasesList.php?ID=25516&StockCode=20134
135,https://www.fishbase.de/Diseases/diseasesList.php?ID=14171&StockCode=14058
136,https://www.fishbase.de/Diseases/diseasesList.php?ID=52994&StockCode=43996
137,https://www.fishbase.de/Diseases/diseasesList.php?ID=27668&StockCode=21635
138,https://www.fishbase.de/Diseases/diseasesList.php?ID=52998&StockCode=44000
139,https://www.fishbase.de/Diseases/diseasesList.php?ID=51841&StockCode=43279
140,https://www.fishbase.de/Diseases/diseasesList.php?ID=11792&StockCode=12118
141,https://www.fishbase.de/Diseases/diseasesList.php?ID=919&StockCode=935
142,https://www.fishbase.de/Diseases/diseasesList.php?ID=920&StockCode=936
143,https://www.fishbase.de/Diseases/diseasesList.php?ID=12115&StockCode=12441
144,https://www.fishbase.de/Diseases/diseasesList.php?ID=1916&StockCode=2112
145,https://www.fishbase.de/Diseases/diseasesList.php?ID=1915&StockCode=2111
146,https://www.fishbase.de/Diseases/diseasesList.php?ID=1895&StockCode=2091
147,https://www.fishbase.de/Diseases/diseasesList.php?ID=1906&StockCode=2102
148,https://www.fishbase.de/Diseases/diseasesList.php?ID=1917&StockCode=2113
149,https://www.fishbase.de/Diseases/diseasesList.php?ID=1919&StockCode=2115
150,https://www.fishbase.de/Diseases/diseasesList.php?ID=26489&StockCode=20775
151,https://www.fishbase.de/Diseases/diseasesList.php?ID=271&StockCode=285
152,https://www.fishbase.de/Diseases/diseasesList.php?ID=270&StockCode=284
153,https://www.fishbase.de/Diseases/diseasesList.php?ID=6376&StockCode=6695
154,https://www.fishbase.de/Diseases/diseasesList.php?ID=10733&StockCode=11056
155,https://www.fishbase.de/Diseases/diseasesList.php?ID=10736&StockCode=11059
156,https://www.fishbase.de/Diseases/diseasesList.php?ID=5458&StockCode=5728
157,https://www.fishbase.de/Diseases/diseasesList.php?ID=5457&StockCode=5727
158,https://www.fishbase.de/Diseases/diseasesList.php?ID=6454&StockCode=6776
159,https://www.fishbase.de/Diseases/diseasesList.php?ID=90&StockCode=2286
160,https://www.fishbase.de/Diseases/diseasesList.php?ID=5538&StockCode=5828
161,https://www.fishbase.de/Diseases/diseasesList.php?ID=5557&StockCode=5847
162,https://www.fishbase.de/Diseases/diseasesList.php?ID=3602&StockCode=3798
163,https://www.fishbase.de/Diseases/diseasesList.php?ID=7803&StockCode=8113
164,https://www.fishbase.de/Diseases/diseasesList.php?ID=10352&StockCode=10675
165,https://www.fishbase.de/Diseases/diseasesList.php?ID=7808&StockCode=8119
166,https://www.fishbase.de/Diseases/diseasesList.php?ID=5564&StockCode=5855
167,https://www.fishbase.de/Diseases/diseasesList.php?ID=5136&StockCode=5373
168,https://www.fishbase.de/Diseases/diseasesList.php?ID=3604&StockCode=3800
169,https://www.fishbase.de/Diseases/diseasesList.php?ID=5570&StockCode=5860
170,https://www.fishbase.de/Diseases/diseasesList.php?ID=5582&StockCode=5872
171,https://www.fishbase.de/Diseases/diseasesList.php?ID=6508&StockCode=6829
172,https://www.fishbase.de/Diseases/diseasesList.php?ID=11124&StockCode=11448
173,https://www.fishbase.de/Diseases/diseasesList.php?ID=50068&StockCode=41900
174,https://www.fishbase.de/Diseases/diseasesList.php?ID=10132&StockCode=10455
175,https://www.fishbase.de/Diseases/diseasesList.php?ID=50504&StockCode=42205
176,https://www.fishbase.de/Diseases/diseasesList.php?ID=5144&StockCode=5382
177,https://www.fishbase.de/Diseases/diseasesList.php?ID=5147&StockCode=5385
178,https://www.fishbase.de/Diseases/diseasesList.php?ID=343&StockCode=357
179,https://www.fishbase.de/Diseases/diseasesList.php?ID=4635&StockCode=4823
180,https://www.fishbase.de/Diseases/diseasesList.php?ID=80&StockCode=95
181,https://www.fishbase.de/Diseases/diseasesList.php?ID=12346&StockCode=12675
182,https://www.fishbase.de/Diseases/diseasesList.php?ID=5604&StockCode=5896
183,https://www.fishbase.de/Diseases/diseasesList.php?ID=5623&StockCode=5917
184,https://www.fishbase.de/Diseases/diseasesList.php?ID=2142&StockCode=2341
185,https://www.fishbase.de/Diseases/diseasesList.php?ID=1735&StockCode=1931
186,https://www.fishbase.de/Diseases/diseasesList.php?ID=4583&StockCode=4769
187,https://www.fishbase.de/Diseases/diseasesList.php?ID=5146&StockCode=5384
188,https://www.fishbase.de/Diseases/diseasesList.php?ID=1736&StockCode=1932
189,https://www.fishbase.de/Diseases/diseasesList.php?ID=26776&StockCode=20941
190,https://www.fishbase.de/Diseases/diseasesList.php?ID=10779&StockCode=11102
191,https://www.fishbase.de/Diseases/diseasesList.php?ID=53380&StockCode=44281
192,https://www.fishbase.de/Diseases/diseasesList.php?ID=2363&StockCode=2557
193,https://www.fishbase.de/Diseases/diseasesList.php?ID=8341&StockCode=8655
194,https://www.fishbase.de/Diseases/diseasesList.php?ID=6358&StockCode=6671
195,https://www.fishbase.de/Diseases/diseasesList.php?ID=48414&StockCode=40663
196,https://www.fishbase.de/Diseases/diseasesList.php?ID=48356&StockCode=40622
197,https://www.fishbase.de/Diseases/diseasesList.php?ID=4978&StockCode=5211
198,https://www.fishbase.de/Diseases/diseasesList.php?ID=5679&StockCode=5972
199,https://www.fishbase.de/Diseases/diseasesList.php?ID=10897&StockCode=11221
200,https://www.fishbase.de/Diseases/diseasesList.php?ID=5695&StockCode=5988
201,https://www.fishbase.de/Diseases/diseasesList.php?ID=457&StockCode=471
202,https://www.fishbase.de/Diseases/diseasesList.php?ID=57875&StockCode=47436
203,https://www.fishbase.de/Diseases/diseasesList.php?ID=26777&StockCode=20942
204,https://www.fishbase.de/Diseases/diseasesList.php?ID=46796&StockCode=39411
205,https://www.fishbase.de/Diseases/diseasesList.php?ID=1873&StockCode=2069
206,https://www.fishbase.de/Diseases/diseasesList.php?ID=26774&StockCode=20938
207,https://www.fishbase.de/Diseases/diseasesList.php?ID=5106&StockCode=5341
208,https://www.fishbase.de/Diseases/diseasesList.php?ID=4494&StockCode=4692
209,https://www.fishbase.de/Diseases/diseasesList.php?ID=5269&StockCode=5509
210,https://www.fishbase.de/Diseases/diseasesList.php?ID=4943&StockCode=5176
211,https://www.fishbase.de/Diseases/diseasesList.php?ID=2098&StockCode=2296
212,https://www.fishbase.de/Diseases/diseasesList.php?ID=3054&StockCode=3250
213,https://www.fishbase.de/Diseases/diseasesList.php?ID=2111&StockCode=2309
214,https://www.fishbase.de/Diseases/diseasesList.php?ID=293&StockCode=307
215,https://www.fishbase.de/Diseases/diseasesList.php?ID=1934&StockCode=2130
216,https://www.fishbase.de/Diseases/diseasesList.php?ID=4805&StockCode=5034
217,https://www.fishbase.de/Diseases/diseasesList.php?ID=8560&StockCode=8875
218,https://www.fishbase.de/Diseases/diseasesList.php?ID=11136&StockCode=11460
219,https://www.fishbase.de/Diseases/diseasesList.php?ID=24&StockCode=32
220,https://www.fishbase.de/Diseases/diseasesList.php?ID=24&StockCode=56760
221,https://www.fishbase.de/Diseases/diseasesList.php?ID=10148&StockCode=10471
222,https://www.fishbase.de/Diseases/diseasesList.php?ID=6378&StockCode=6697
223,https://www.fishbase.de/Diseases/diseasesList.php?ID=7499&StockCode=7802
224,https://www.fishbase.de/Diseases/diseasesList.php?ID=263&StockCode=277
225,https://www.fishbase.de/Diseases/diseasesList.php?ID=2311&StockCode=2508
226,https://www.fishbase.de/Diseases/diseasesList.php?ID=2488&StockCode=2682
227,https://www.fishbase.de/Diseases/diseasesList.php?ID=1397&StockCode=1415
228,https://www.fishbase.de/Diseases/diseasesList.php?ID=1390&StockCode=1408
229,https://www.fishbase.de/Diseases/diseasesList.php?ID=235&StockCode=249
230,https://www.fishbase.de/Diseases/diseasesList.php?ID=2670&StockCode=2866
231,https://www.fishbase.de/Diseases/diseasesList.php?ID=12547&StockCode=12878
232,https://www.fishbase.de/Diseases/diseasesList.php?ID=4687&StockCode=4905
233,https://www.fishbase.de/Diseases/diseasesList.php?ID=5624&StockCode=5918
234,https://www.fishbase.de/Diseases/diseasesList.php?ID=7777&StockCode=8087
235,https://www.fishbase.de/Diseases/diseasesList.php?ID=13109&StockCode=13419
236,https://www.fishbase.de/Diseases/diseasesList.php?ID=12159&StockCode=12485
237,https://www.fishbase.de/Diseases/diseasesList.php?ID=12168&StockCode=12494
238,https://www.fishbase.de/Diseases/diseasesList.php?ID=12171&StockCode=12496
