Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
active,other stress,715.1,1465.0,,30.5,5.449999999999999,Chromis ternatensis
standard,,246.0,555.0,,30.0,2.5,Chromis viridis
standard,,170.2,384.0,,30.0,2.4,Chrysiptera flavipinnis
routine,hypoxia*,65.54857142857142,100.10526315789474,0.0,21.894736842105264,12.542631578947368,Cichlasoma bimaculatum
routine*,none specified*,73.4696629213483,127.53932584269663,0.0,26.52247191011236,135.42460674157297,Cirrhinus cirrhosus
routine,,76.8,14.0,,5.0,100.0,Cirrhitichthys bleekeri
routine,none specified,126.3,80.0,,15.0,15.0,Citharichthys stigmaeus
standard,none specified,59.8111111111111,97.88888888888889,0.0,26.0,54.53888888888889,Clarias batrachus
routine,none specified,122.0,122.0,,20.0,37.0,Clinocottus analis
routine*,none specified*,238.01445783132527,378.6186440677966,0.0,29.74576271186441,544.3061864406778,Colossoma macropomum
routine,none specified,147.0,111.6,,16.9,208.26,Conger conger
routine,none specified*,116.86666666666667,287.0,0.0,30.928571428571427,50.0,Coptodon rendalli
standard*,temperature*,230.76071428571427,333.26666666666665,0.0,26.066666666666666,65.36033333333333,Coptodon zillii
active*,none specified,736.475,186.5,24.0,7.0249999999999995,174.0,Coregonus autumnalis
routine*,none specified*,1426.976923076923,818.5384615384615,0.0,14.0,0.11,Coregonus fera
active*,none specified,506.67272727272734,176.72727272727272,7.636363636363637,9.463636363636367,191.5909090909091,Coregonus sardinella
routine,none specified,7123.635211267606,9157.366197183099,36.0,23.0,0.1215492957746479,Coryphaena equiselis
routine,,825.5,450.0,,13.5,0.9,Coryphaena hippurus
routine,,14.200000000000001,2.6666666666666665,,5.0,1421.0,Coryphaenoides acrolepis
routine,none specified*,30.3,5.142857142857143,35.0,4.142857142857143,900.0,Coryphaenoides armatus
routine,none specified,423.2,355.0,0.0,18.0,2.9,Cottus gobio
routine,none specified*,298.825,353.75,2.625,22.0,8.067499999999999,Ctenopharyngodon idella
routine,,1192.4,650.0,,13.5,1.3,Cubiceps whiteleggii
standard*,none specified,,72.33333333333333,35.0,3.0,0.5399999999999999,Cyclothone acclinidens
routine,,,23.0,,0.3,0.78,Cyclothone microdon
routine*,temperature*,675.8352941176471,824.7058823529412,0.0,20.470588235294116,1.4294117647058822,Cyprinella lutrensis
routine*,none specified*,767.75,990.3333333333334,14.529411764705882,24.0,1.496666666666667,Cyprinodon variegatus
standard*,hypoxia*,201.67584541062803,201.48598130841123,0.0,19.59299065420561,446.52733644859796,Cyprinus carpio
routine,none specified,4952.364285714286,6366.214285714285,36.0,23.0,0.038571428571428576,Dactylopterus volitans
active,other stress,876.9,1223.0,,24.0,0.5,Danio rerio
standard*,,473.45000000000005,1285.6666666666667,,30.333333333333332,5.3566666666666665,Dascyllus aruanus
active,other stress,1004.0,1639.5,,30.5,8.415,Dascyllus reticulatus
routine,none specified,808.5,225.0,35.0,7.5,2.375,Diaphus theta
active,other stress,471.34999999999997,369.75,,17.75,192.875,Dicentrarchus labrax
routine,hypoxia,102.15,154.75,0.0,25.0,9.700000000000001,Dimidiochromis compressiceps
routine,none specified,396.6,227.5,,14.0,22.875,Diplodus sargus
routine*,none specified,946.6942307692309,713.3076923076923,0.0,16.813461538461535,33.10769230769231,Dorosoma cepedianum
active,none specified,157.95,220.25,34.0,24.0,160.75,Echeneis naucrates
routine,none specified,294.1,258.0,,18.5,10.4,Echiichthys vipera
standard*,none specified*,,55.5,,0.4,27.45,Electrona antarctica
standard,none specified,351.15,103.0,,7.166666666666667,47.0,Eleginus gracilis
routine,other stress*,139.7,88.5,14.0,15.0,599.0,Embiotoca lateralis
standard,none specified,88.88333333333333,200.5,35.0,30.0,1.665,Encheliophis homei
standard*,none specified,2839.9333333333334,2018.8666666666666,,16.199999999999996,481.1306666666667,Engraulis japonicus
routine,,,84.0,,0.0,0.0,Engraulis ringens
routine,hypoxia,128.96666666666667,194.96666666666667,30.0,25.0,281.0,Epinephelus akaara
routine,,39.3,7.0,,5.0,1128.0,Eptatretus cirrhatus
routine,,18.8,4.0,,5.0,100.0,Eptatretus deani
routine,,52.95,10.0,,5.0,585.5,Eptatretus hexatrema
routine,,46.1,9.0,,5.0,60.2,Eptatretus stoutii
routine,hypoxia,187.52499999999998,283.75,0.0,25.0,5.825000000000001,Eretmodus cyanostictus
routine,none specified,174.4,153.0,0.0,18.5,25.8,Erimyzon oblongus
standard,none specified,64.5,114.0,0.0,27.0,27.4,Erpetoichthys calabaricus
routine*,none specified*,1075.7911764705877,1597.9411764705883,0.0,24.602941176470587,0.6105882352941179,Esomus danrica
standard*,none specified*,181.537037037037,141.37037037037038,0.0,16.770370370370372,371.62222222222215,Esox lucius
routine,none specified,337.56666666666666,173.44444444444446,0.0,15.0,14.022222222222222,Esox masquinongy
routine,none specified,261.9,210.0,0.0,17.5,12.35,Etheostoma blennioides
routine,hypoxia,101.7,72.0,0.0,15.0,1.15,Etheostoma boschungi
routine,hypoxia,101.25,66.5,0.0,15.0,1.85,Etheostoma duryi
routine,hypoxia,80.1,55.5,0.0,15.0,1.25,Etheostoma flabellare
routine,hypoxia,118.85,79.0,0.0,15.0,0.42,Etheostoma fusiforme
routine,hypoxia,88.9,57.5,0.0,15.0,3.8499999999999996,Etheostoma rufilineatum
routine,hypoxia,98.05,67.5,0.0,15.0,1.5499999999999998,Etheostoma squamiceps
standard,none specified,360.7,503.0,35.0,24.0,2260.0,Euthynnus affinis
standard,none specified*,47.06666666666666,103.0,0.0,27.5,4.295,Exodon paradoxus
routine*,none specified,183.41363636363636,251.5,15.545454545454545,24.636363636363637,12.859090909090908,Fundulus grandis
routine,none specified,1451.1,1068.4444444444443,25.666666666666668,18.200000000000003,5.216666666666667,Fundulus heteroclitus
routine*,none specified,199.3181818181818,179.45454545454547,,19.272727272727273,4.223636363636364,Fundulus parvipinnis
routine*,none specified,282.1272727272727,370.3181818181818,15.545454545454545,24.636363636363637,12.186363636363637,Fundulus similis
routine,none specified*,373.613043478261,79.04,35.0,5.82,136.756,Gadus chalcogrammus
routine*,,341.7,70.66666666666667,,5.5,715.6666666666666,Gadus macrocephalus
routine,,,63.0,,0.0,180.0,Gadus macrocephalus
routine*,none specified*,301.9514492753625,127.72847682119205,34.54330708661417,11.195364238410596,746.3067549668876,Gadus morhua
routine*,hypoxia*,888.5933333333331,1198.0,0.0,24.303030303030305,1.7236363636363643,Gambusia affinis
routine,none specified,326.07,553.1875,0.0,26.90625,0.6737500000000001,Gambusia holbrooki
routine*,none specified*,592.1791666666666,275.25,0.0,10.75,1.1529166666666668,Gasterosteus aculeatus
standard,none specified,24.919047619047618,19.142857142857142,35.0,17.0,153.17238095238096,Genyagnus monopterygius
routine,none specified,445.03999999999996,432.25,35.0,19.0,0.5605,Gilchristella aestuaria
routine*,none specified,129.92,115.37333333333333,35.76712328767123,18.04,10.768666666666672,Gillichthys mirabilis
standard*,temperature,47.025000000000006,82.75,,26.599999999999998,9205.0,Ginglymostoma cirratum
routine,none specified,457.64,371.2,,18.94,116.58,Girella nigricans
routine*,none specified,138.00930232558136,193.95348837209303,5.571428571428571,24.162790697674417,14.13906976744186,Glossogobius giuris
standard,,62.3,102.0,0.0,26.0,5.85,Gnathonemus petersii
routine,none specified,343.1166666666666,264.5,0.0,16.833333333333332,17.41166666666667,Gobio gobio
standard,,109.9,248.0,,30.0,1.2,Gobiodon histrio
standard,none specified,,101.0,,3.0,47.0,Gobionotothen angustifrons
routine,,,23.0,,0.3,470.0,Gobionotothen gibberifrons
routine,none specified,169.0,219.0,,23.1,10.5,Gobius paganellus
standard,none specified,,18.0,,-1.5,47.0,Gymnelus viridis
standard,none specified,,30.0,,-1.5,47.0,Gymnocanthus tricuspis
routine,none specified,208.95,168.5,0.0,17.5,37.6,Gymnocephalus cernua
standard*,,,40.5,,-0.6,80.80000000000001,Gymnodraco acuticeps
routine*,,,37.5,,0.4,29.2,Gymnoscopelus braueri
standard*,none specified*,,30.5,,0.4,35.275,Gymnoscopelus opisthopterus
standard,,174.7,394.0,,30.0,1.8,Halichoeres melanurus
active,hypoxia,184.53,278.9,0.0,25.0,9.5,Haplochromis elegans
standard,,,16.0,,2.25,25.565,Harpagifer georgianus
routine,none specified,127.7,193.0,,25.0,3.0,Hemichromis bimaculatus
routine*,other stress*,99.72812499999998,173.22222222222223,0.0,26.88888888888889,36.58444444444444,Heteropneustes fossilis
routine,none specified,165.56,184.8,,21.04,4.16,Hippocampus hippocampus
standard,none specified,,20.166666666666668,35.0,3.4166666666666665,262.3333333333333,Hippoglossoides platessoides
routine,hypoxia*,32.72545454545455,65.41818181818182,0.0,28.5,308.6,Hoplerythrinus unitaeniatus
standard,hypoxia,96.11290322580645,96.12903225806451,0.0,20.0,94.59354838709676,Hoplias malabaricus
routine,other stress*,135.85,113.75,,18.0,2669.4999999999995,Huso huso
active,none specified,1691.9499999999998,2175.0,0.0,23.0,1.7,Hybognathus nuchalis
standard,none specified,63.769999999999996,80.9,35.0,22.86,491.4,Hypanus sabinus
standard,none specified,,30.0,,-1.5,47.0,Icelus bicornis
standard,none specified,,30.0,,-1.5,47.0,Icelus spatula
routine,none specified,182.4,153.0,0.0,18.0,3.78,Ichthyomyzon fossor
standard*,hypoxia*,103.57586206896552,127.03448275862068,0.0,22.0,89.94172413793102,Ictalurus punctatus
routine,hypoxia,246.15,372.25,0.0,25.0,3.4,Julidochromis marlieri
standard*,none specified,393.54255319148945,530.468085106383,33.255319148936174,23.56382978723404,1905.0212765957447,Katsuwonus pelamis
standard*,none specified*,157.49047619047624,202.47619047619048,2.064516129032258,23.0,52.399047619047614,Kuhlia sandvicensis
standard,,80.6,132.0,,26.0,13.4,Kuhlia xenura
routine,none specified,284.2,524.5,0.0,27.5,0.18125000000000002,Labeo calbasu
routine,hypoxia*,186.5122448979591,118.87755102040816,0.0,15.346938775510203,222.95653061224496,Labeo capensis
active*,none specified,360.06,550.8,0.0,25.4,8.25,Labeo rohita
routine*,none specified,121.27499999999999,102.28125,0.0,17.5,81.23750000000001,Labeobarbus aeneus
standard,,326.3,736.0,,30.0,0.56,Labroides dimidiatus
routine,none specified,249.29999999999998,217.75,,18.375,68.0,Labrus bergylta
routine,none specified,173.92857142857142,194.92857142857142,19.0,23.357142857142858,12.892857142857142,Lagodon rhomboides
standard*,none specified*,135.9564516129032,57.70967741935484,0.0,10.798387096774194,30.225161290322582,Lampetra fluviatilis
