Activity,Applied stress,Oxygen Consumption at 20°C,Oxygen consumption,Salinity,Temperature,Weight,name
standard,,89.1,201.0,,30.0,12.6,Pomacentrus amboinensis
standard,,105.1,237.0,,30.0,7.8,Pomacentrus bankanensis
standard*,,630.3499999999999,1592.3333333333333,,30.333333333333332,6.006666666666667,Pomacentrus coelestis
standard*,,290.7,662.0,,30.333333333333332,5.266666666666667,Pomacentrus lepidogenys
standard*,,368.7,863.0,,30.333333333333332,5.12,Pomacentrus moluccensis
standard,,148.1,334.0,,30.0,9.1,Pomacentrus philippinus
routine,none specified,139.59000000000003,155.13333333333333,35.0,20.0,571.2966666666667,Pomadasys commersonnii
active,other stress*,717.2142857142858,454.3809523809524,30.714285714285715,15.0,221.28571428571425,Pomatomus saltatrix
routine,none specified,114.5,91.0,0.0,17.4,11.5,Pomoxis annularis
routine,none specified*,83.8,28.0,35.0,2.65,10.8,Poromitra crassiceps
standard,,96.6,218.0,,30.0,3.7,Pristiapogon exostigma
standard,hypoxia*,49.43684210526315,111.57894736842105,0.0,30.0,163.21052631578948,Protopterus annectens
routine,none specified,83.8,16.0,35.0,5.0,41.1,Pseudobathylagus milleri
routine,,,40.0,,0.75,36.85,Pseudochaenichthys georgianus
standard,none specified,54.7,97.0,,27.0,47.0,Pseudocrenilabrus multicolor
standard*,none specified,165.74705882352941,146.60294117647058,25.176470588235293,16.908823529411762,84.7670588235294,Pseudopleuronectes americanus
routine,none specified,137.22903225806454,207.41935483870967,0.0,25.0,4.982903225806451,Pterophyllum scalare
,hypoxia*,112.1625,222.375,0.0,28.400000000000002,72.24999999999999,Pygocentrus nattereri
routine,other stress,264.6,222.0,10.0,18.0,3.8,Rhacochilus vacca
standard*,,293.3,501.0,,26.65,73.3,Rhinecanthus aculeatus
standard,,59.6,110.0,,27.5,119.7,Rhinecanthus rectangulus
routine*,none specified,114.61428571428571,72.61904761904762,34.0,15.0,3.0319047619047614,Rhinogobiops nicholsii
standard*,hypoxia*,145.2625,306.22222222222223,0.0,30.555555555555557,43.84444444444446,Rhinomugil corsula
routine,none specified,278.1,194.0,,16.0,0.71,Rhodeus amarus
routine,none specified,300.4,205.0,0.0,16.666666666666668,3.0,Rhodeus sericeus
active,none specified,282.24285714285713,244.78571428571428,35.0,18.071428571428573,313.2857142857143,Rhomboplites aurorubens
routine,none specified,283.0272727272727,179.54545454545453,0.0,15.227272727272727,75.1590909090909,Rutilus rutilus
routine,none specified,122.2,23.0,35.0,5.0,5.7,Sagamichthys abei
standard*,temperature*,408.41458333333327,374.3541666666667,1.25,17.989583333333332,19.17749999999999,Salmo salar
standard*,none specified*,350.92777777777775,134.75925925925927,0.0,10.092592592592593,139.91092592592594,Salmo trutta
standard*,none specified,313.5375,201.625,0.0,13.75,115.35,Salmo trutta
standard*,none specified,442.1333333333334,196.75,0.0,9.5,128.5,Salvelinus alpinus
standard*,none specified*,343.62600000000003,161.56,0.0,12.623333333333333,333.71799999999996,Salvelinus fontinalis
standard*,none specified*,347.11025641025634,213.17948717948718,0.0,15.01111111111111,53.227350427350416,Salvelinus namaycush
standard*,none specified*,270.88750000000005,127.25,0.0,12.5,625.0,Sander lucioperca
routine*,hypoxia*,142.5771428571429,151.97142857142856,0.0,19.654285714285706,187.65114285714284,Sander vitreus
routine,none specified,1456.3,1724.0,33.0,22.0,2530.0,Sarda lineolata
standard*,none specified*,49.675,112.0,0.0,30.333333333333332,283.0,Sarotherodon galilaeus
routine,none specified,217.0,217.0,0.0,20.0,53.0,Scardinius erythrophthalmus
standard*,,202.75,417.5,,29.0,49.45,Scolopsis bilineata
routine,none specified,68.8,13.0,35.0,5.0,49.8,Scopelengys tristis
routine,none specified,20.0,20.0,35.0,5.0,3.6,Scopelogadus mizolepis
routine*,temperature*,271.7625,130.125,35.0,11.625,308.28125,Scophthalmus maximus
routine,none specified,177.83333333333334,156.0,,18.5,88.33333333333333,Scophthalmus rhombus
routine,,94.75,18.0,,5.0,525.0,Scorpaena guttata
routine*,,130.625,91.75,,15.275,61.075,Scorpaena porcus
routine,,71.7,13.0,,5.0,85.0,Scorpaenopsis diabolus
routine,,41.1,8.0,,5.0,58.0,Scorpaenopsis oxycephala
standard*,none specified*,91.37200000000001,44.4,35.0,12.52,704.2,Scyliorhinus canicula
standard*,none specified,52.17142857142858,41.92857142857143,35.0,17.47142857142857,1968.9285714285713,Scyliorhinus stellaris
standard,temperature*,265.23157894736846,165.3684210526316,36.0,15.0,2.0,Sebastes diploproa
routine,,154.65555555555554,28.88888888888889,,5.0,1207.111111111111,Sebastes flavidus
routine,,41.9,8.0,,5.0,600.0,Sebastolobus alascanus
standard,none specified,80.66666666666667,16.833333333333332,35.0,5.7,103.60000000000001,Sebastolobus altivelis
active,other stress,655.9,656.0,,20.0,1900.0,Seriola lalandi
standard,none specified,158.6,148.0,35.0,19.2,989.0,Seriola quinqueradiata
routine,none specified,238.0,166.0,,16.0,4.1,Serranus scriba
routine*,none specified*,205.71428571428572,172.28571428571428,,17.885714285714286,84.0,Solea solea
routine,none specified,231.7,203.0,,18.5,78.15,Sparus aurata
routine,,35.8,7.0,,5.0,2911.0,Spectrunculus grandis
standard,,58.1,131.0,,30.0,7.3,Sphaeramia nematoptera
routine,none specified,412.8,354.0,,18.25,2.65,Spinachia spinachia
active,other stress,801.9,1212.0,,25.0,7.39,Spinibarbus sinensis
routine,none specified,261.475,210.25,0.0,17.25,49.485,Squalius cephalus
standard*,none specified,111.89999999999999,52.391304347826086,33.78260869565217,12.043478260869565,2827.3478260869565,Squalus acanthias
routine,hypoxia,191.075,288.5,0.0,25.0,2.9750000000000005,Steatocranus tinanti
routine,none specified,294.85,80.0,35.0,7.5,4.35,Stenobrachius leucopsarus
active,other stress,2833.6,5314.0,,27.7,15.8,Stethojulis bandanensis
routine,none specified,154.0,57.0,35.0,10.0,9.3,Stomias atriventer
routine,,,42.0,,2.5,13.8,Stomias danae
standard,,62.0,110.0,,27.0,7.2,Sufflamen bursa
routine,none specified,457.2,86.0,35.0,5.0,0.8,Symbolophorus californiensis
routine,,285.1,53.0,,5.0,95.0,Synaphobranchus kaupii
routine,hypoxia*,34.083333333333336,51.5,0.0,25.0,123.11111111111111,Synbranchus marmoratus
routine,none specified,269.65,236.5,,18.5,7.3,Syngnathus acus
standard,,99.7,225.0,,30.0,5.8,Taeniamia fucata
routine,none specified,493.9,201.5,35.0,10.5,2.3449999999999998,Tarletonbeania crenularis
routine,none specified,150.0,157.0,,20.5,46.5,Tautogolabrus adspersus
standard,,43.0,80.0,,27.6,21.0,Thalassoma duperrey
routine,none specified,90.8,137.5,,25.0,8.5,Thorichthys meeki
active,none specified,365.5833333333333,280.0,35.0,17.0,10075.833333333334,Thunnus alalunga
standard*,none specified,670.9416666666666,232.125,0.0,8.5,283.0,Thymallus arcticus
routine,hypercapnia*,176.77619047619046,145.9047619047619,0.0,17.133333333333333,225.2238095238095,Tinca tinca
standard,none specified,37.666666666666664,26.333333333333332,35.0,16.0,1517.0,Torpedo marmorata
routine,none specified,111.8,67.5,,14.5,362.5,Torpedo torpedo
standard*,,,31.5,,-0.4,116.6,Trematomus bernacchii
standard*,none specified*,,49.0,,1.05,96.0,Trematomus hansoni
active,,,35.0,,-0.9,158.0,Trematomus loennbergii
active,,,34.0,,-0.9,114.0,Trematomus nicolai
routine,,,43.0,,-0.9,183.0,Trematomus pennellii
routine,none specified,295.6547619047619,574.6666666666666,0.0,28.214285714285715,1.749761904761906,Trichogaster fasciata
routine,hypoxia*,102.83333333333333,182.33333333333334,0.0,27.0,7.97,Trichopodus trichopterus
routine,none specified,224.2,66.0,35.0,7.5,5.2250000000000005,Triphoturus mexicanus
routine,hypoxia,168.875,255.5,0.0,25.0,8.325,Tropheus moorii
routine*,none specified,28.158823529411766,18.058823529411764,34.0,15.0,1.9344117647058832,Typhlogobius californiensis
standard,,55.1,105.0,,27.9,123.0,Xanthichthys auromarginatus
routine,none specified*,319.8625,341.375,0.0,21.0,0.7299999999999999,Xiphophorus hellerii
routine,none specified,552.1374999999999,103.5,7.0,5.0,0.2525,Zoarces viviparus
standard,,113.0,255.0,,30.0,1.9,Zoramia fragilis
standard,,106.0,239.0,,30.0,1.5,Zoramia leptacantha
