,Heritability_Records
0,https://www.fishbase.de/Genetics/PopCharList.php?ID=3215&GenusName=Gambusia&SpeciesName=affinis
1,https://www.fishbase.de/Genetics/PopCharList.php?ID=290&GenusName=Ictalurus&SpeciesName=punctatus
2,https://www.fishbase.de/Genetics/PopCharList.php?ID=239&GenusName=Oncorhynchus&SpeciesName=mykiss
3,https://www.fishbase.de/Genetics/PopCharList.php?ID=1387&GenusName=Oreochromis&SpeciesName=aureus
4,https://www.fishbase.de/Genetics/PopCharList.php?ID=3&GenusName=Oreochromis&SpeciesName=mossambicus
5,https://www.fishbase.de/Genetics/PopCharList.php?ID=2&GenusName=Oreochromis&SpeciesName=niloticus
6,https://www.fishbase.de/Genetics/PopCharList.php?ID=236&GenusName=Salmo&SpeciesName=salar
7,https://www.fishbase.de/Genetics/PopCharList.php?ID=238&GenusName=Salmo&SpeciesName=trutta
