name,predators
Cynoscion jamaicensis,['Stenella frontalis']
Cynoscion nannus,['Cynoscion nannus']
Cynoscion regalis,"['Petromyzon marinus', 'Carcharhinus obscurus', 'Morone saxatilis', 'Pomatomus saltatrix', 'Raja eglanteria', 'Cynoscion regalis']"
Cynoscion striatus,['Cynoscion striatus']
Cypho purpurascens,['Synodus englemani']
Cyphotilapia frontosa,['Plecodus straeleni']
Cyprichromis coloratus,['Lepidiolamprologus mimicus']
Cyprichromis leptosoma,['Lepidiolamprologus mimicus']
Cyprichromis microlepidotus,['Plecodus straeleni']
Cyprichromis zonatus,['Lepidiolamprologus mimicus']
Cyprinella lutrensis,['Pylodictis olivaris']
Cyprinella spiloptera,"['Esox lucius', 'Esox masquinongy']"
Cyprinodon artifrons,"['Paralichthys dentatus', 'Centropristis striata']"
Cyprinodon variegatus,"['Mycteroperca phenax', 'Sphyraena barracuda']"
Cyprinus carpio,"['Morone saxatilis', 'Petromyzon marinus', 'Siniperca chuatsi', 'Ictalurus punctatus', 'Amia calva', 'Micropterus salmoides', 'Ptychocheilus oregonensis', 'Esox lucius', 'Maccullochella peelii peelii', 'Macquaria ambigua', 'Perca fluviatilis', 'Argyrosomus hololepidotus', 'Silurus glanis', 'unidentified', 'Hydromys sp.', 'Aorichthys seenghala', 'Lates calcarifer', 'Channa striata', 'Chitala chitala', 'unidentified spider', 'Oncorhynchus mykiss', 'Wallago attu']"
Cyttopsis rosea,['Macrorhamphosodes uradoi']
Dactyloptena orientalis,['Aprion virescens']
Dactylopterus volitans,"['Thunnus albacares', 'Coryphaena hippurus', 'Istiophorus albicans', 'Makaira nigricans', 'Tetrapturus albidus', 'Tetrapturus pfluegeri', 'Anous stolidus', 'Sterna fuscata', 'Acanthocybium solandri', 'Helicolenus lahillei', 'Epinephelus marginatus', 'Heteropriacanthus cruentatus', 'Priacanthus arenatus']"
Dallia pectoralis,['Esox lucius']
Dascyllus aruanus,"['Cephalopholis hemistiktos', 'Cephalopholis miniata']"
Dasycottus setiger,"['Gadus macrocephalus', 'Reinhardtius hippoglossoides']"
Deania calcea,['Helicolenus percoides']
Decapterus koheru,"['Thyrsites atun', 'Seriola lalandi', 'Zeus faber']"
Decapterus macarellus,"['Cephalopholis argus', 'Caranx ignobilis', 'Lutjanus monostigma']"
Decapterus maruadsi,['Euthynnus affinis']
Decapterus muroadsi,"['Tetrapturus audax', 'Gymnosarda unicolor', 'Makaira mazara']"
Decapterus punctatus,"['Coryphaena hippurus', 'Istiophorus albicans', 'Makaira nigricans', 'Tetrapturus albidus', 'Anous stolidus', 'Sterna fuscata', 'Acanthocybium solandri', 'Calamus leucosteus']"
Decapterus russelli,['Sarda orientalis']
Decapterus tabl,['Galeus nipponensis']
Deltentosteus quadrimaculatus,"['Ophichthus rufus', 'Lepidorhombus boscii', 'Lepidorhombus whiffiagonis', 'Chelidonichthys lucernus', 'Zeus faber', 'Merluccius merluccius']"
Dentex dentex,['Seriola demerili']
Dentex macrophthalmus,['Merluccius merluccius']
Diaphus brachycephalus,['Beryx splendens']
Diaphus chrysorhynchus,['Stenella longirostris']
Diaphus coeruleus,"['Synagrops japonicus', 'Caelorinchus smithi', 'Congriscus megastomus', 'Diaphus coeruleus', 'Neoscopelus macrolepidotus']"
Diaphus danae,"['Cyttus traversi', 'Macruronus novaezelandiae', 'Helicolenus percoides']"
Diaphus dumerilii,"['Merluccius capensis', 'Merluccius paradoxus', 'Illex argentinus', 'Zenopsis conchifera', 'Astronesthes similus']"
Diaphus effulgens,['Pterodroma incerta']
Diaphus fragilis,"['Lagenodelphis hosei', 'Stenella longirostris']"
Diaphus garmani,"['Stenella longirostris', 'Galeus eastmani']"
Diaphus gigas,['Trigonognathus kabeyai']
Diaphus hudsoni,"['Trachurus capensis', 'Merluccius capensis', 'Merluccius paradoxus', 'Genypterus capensis']"
Diaphus kuroshio,['Magnisudis  atlantica']
Diaphus luetkeni,"['Lagenodelphis hosei', 'Stenella longirostris']"
Diaphus meadi,"['Trachurus capensis', 'unidentified', 'Genypterus capensis']"
Diaphus metopoclampus,['Latimeria chalumnae']
Diaphus mollis,['Stenella attenuata']
Diaphus ostenfeldi,['Squalus acanthias']
Diaphus parri,"['Lagenodelphis hosei', 'Stenella longirostris']"
Diaphus perspicillatus,['Allocyttus verucosus']
Diaphus rafinesquii,['Stenella longirostris']
Diaphus sagamiensis,['Congriscus megastomus']
Diaphus signatus,['Trichiurus lepturus']
Diaphus splendidus,['Stenella attenuata']
Diaphus suborbitalis,"['Lagenodelphis hosei', 'Stenella longirostris']"
Diaphus taaningi,['Merluccius capensis']
Diaphus theta,"['Thunnus alalunga', 'Delphinus delphis']"
Diapterus rhombeus,"['Eleotris pisonis', 'Elops saurus']"
Dicentrarchus labrax,"['Phalacrocorax carbo', 'Dicentrarchus labrax']"
Dicrolene introniger,['Merluccius albidus']
Dinoperca petersi,['Carcharhinus limbatus']
Diodon hystrix,"['Coryphaena hippurus', 'Istiophorus albicans', 'Makaira nigricans', 'Tetrapturus albidus', 'Acanthocybium solandri', 'Galeocerdo cuvier']"
Diogenichthys atlanticus,"['Beryx splendens', 'Stenella longirostris', 'Pseudopentaceros wheeleri']"
Diogenichthys laternatus,"['Beryx splendens', 'Epigonus elegans']"
Diplecogaster bimaculata,"['Calma glaucoides', 'Serranus atricauda', 'Aspitrigla cuculus']"
Diplectrum bivittatum,"['Anous stolidus', 'Sterna fuscata']"
Diplectrum formosum,"['Anous stolidus', 'Sterna fuscata']"
Diplectrum radiale,['Antennarius striatus']
Diplodus annularis,"['Scorpaena porcus', 'Scorpaena scrofa', 'Epinephelus marginatus']"
Diplodus argenteus,['Bagrus meridionalis']
Diplodus capensis,['Triakis megalopterus']
Diplodus cervinus,['Carcharhinus limbatus']
Diplodus puntazzo,['Scorpaena scrofa']
Diplodus sargus,"['Carcharhinus limbatus', 'Lichia amia']"
Diplospinus multistriatus,"['Thunnus alalunga', 'Alepisaurus ferox', 'Thunnus albacares']"
Diplotaxodon argenteus,['Bagrus meridionalis']
Diretmichthys parini,"['Lagenodelphis hosei', 'Stenella longirostris', 'Centrophorus squamosus']"
Diretmus argenteus,['Thunnus obesus']
Dissostichus eleginoides,"['Cottoperca gobio', 'Salilota australis', 'Arctocephalus gazella', 'Bathyraja brachyurops', 'Bathyraja griseocauda', 'Diomedea melanophrys', 'Bathyraja albomaculata']"
Dissostichus mawsoni,"['Cygnodraco mawsoni', 'sperm whale']"
Dormitator maculatus,"['Dormitator maculatus', 'Scomberomorus cavalla', 'Daector gerringi']"
Dorosoma cepedianum,"['Amia calva', 'Micropterus salmoides', 'Esox lucius', 'Esox masquinongy', 'Morone saxatilis', 'Stizostedion vitreum', 'Pomatomus saltator', 'Cynoscion regalis', 'Sander vitreus']"
Dorosoma petenense,"['Micropterus salmoides', 'Cichla ocellaris', 'Morone saxatilis']"
Dules auriga,"['Stenella frontalis', 'Tursiops truncatus', 'Squatina guggenheim']"
Dussumieria elopsoides,['Chirocentrus dorab']
Echidna catenata,['Sphyraena barracuda']
Echiichthys vipera,"['Merlangius merlangus', 'Raja montagui', 'Chelidonichthys gurnardus']"
Echiodon dentatus,['Merluccius merluccius']
Ecsenius yaeyamaensis,['Fistularia commersonii']
Ectreposebastes imus,['Alepisaurus ferox']
Elagatis bipinnulata,"['Anous stolidus', 'Sterna fuscata']"
Elassodiscus tremebundus,"['Anoplopoma fimbria', 'Bathyraja aleutica', 'Bathyraja matsubarai', 'Bathyraja parmifera']"
Elassoma zonatum,"['Pardosa pseudoannulata', 'Dolomedes sp.']"
Electrona antarctica,"['Cygnodraco mawsoni', 'Gymnodraco acuticeps', 'Diomedea chrysostoma', 'Eudyptes chrysolophus', 'Pygoscelis papua', 'Paradiplospinus gracilis', 'Trematomus eulepidotus', 'Arctocephalus gazella', 'Arctocephalus tropicalis', 'Thalassarche chrysostoma', 'Aptenodytes patagonicus']"
Electrona carlsbergi,"['Micromesistius australis', 'Lampris immaculatus', 'Macruronus novaezelandiae', 'Arctocephalus gazella', 'Arctocephalus tropicalis', 'Thalassarche chrysostoma', 'Aptenodytes patagonicus', 'Notolepis sp.']"
Electrona paucirastra,"['Micromesistius australis', 'Macruronus novaezelandiae']"
Electrona risso,"['Beryx splendens', 'Lagenodelphis hosei', 'Stenella longirostris']"
Electrona subaspera,"['Champsocephalus gunnari', 'Micromesistius australis', 'Lampris immaculatus', 'Macruronus novaezelandiae', 'Dissostichus eleginoides', 'Arctocephalus gazella', 'Arctocephalus tropicalis']"
Electrophorus electricus,['Electrophorus electricus']
Eleginus gracilis,"['Platichthys stellatus', 'Megalocottus platycephalus']"
Eleginus nawaga,['Phoca groenlandica']
Eleotris acanthopoma,['Eleotris acanthopoma']
Eleotris pisonis,['Eleotris pisonis']
Eleutheronema tetradactylum,"['Lates calcarifer', 'Crocodylus porosus', 'unidentified', 'unidentified']"
Elops machnata,"['Haliaeetus vocifer', 'Carcharhinus limbatus']"
Elops saurus,['Carcharhinus leucas']
Embiotoca jacksoni,['Triakis semifasciata']
Embiotoca lateralis,['Sebastes caurinus']
Emblemariopsis signifer,['Caranx latus']
Emmelichthys nitidus+nitidus,"['Brama brama', 'Merluccius paradoxus', 'Raja alba', 'Merluccius capensis']"
Emmelichthys struhsakeri,['Macrorhamphosodes uradoi']
Enchelycore nigricans,['Epinephelus striatus']
Enchelyopus cimbrius,"['Trisopterus luscus', 'Trisopterus minutus', 'Lophius americanus', 'Pomatomus saltatrix', 'Chelidonichthys gurnardus', 'Gadus morhua']"
Encrasicholina devisi,"['Gazza minuta', 'Sphyraena obtusata', 'Sphyraena qenie']"
Encrasicholina heteroloba,"['Johnius dussumieri', 'Gazza minuta', 'Euthynnus affinis', 'Sphyraena obtusata', 'Sphyraena putnamae', 'Saurida tumbil', 'Trichiurus lepturus']"
Encrasicholina punctifer,"['Alepisaurus ferox', 'Canthidermis maculatus', 'Caranx sexfaciatus', 'Decapterus macarellus', 'Elagatis bipinnulata', 'Seriola rivoliana', 'Carcharhinus falciformis', 'Kyphosus cinerascens', 'Kyphosus lembus', 'Lobotes surinamensis', 'Abudefduf vaigiensis', 'Saurida tumbil', 'Terapon theraps']"
Encrasicholina purpurea,['Sphyrna lewini']
Engraulicypris sardella,"['Rhamphochromis longiceps', 'Rhamphochromis longiceps', 'Rhamphochromis spp.', 'Bagrus meridionalis', 'Opsaridium', 'Diplotaxodon limnothrissa']"
Engraulis anchoita,"['Callorhinchus callorhynchus', 'Lagenorhynchus obscurus', 'Stenella frontalis', 'Thyrsitops lepidopoides', 'Merluccius hubbsi', 'Phalacrocorax atriceps', 'Pomatomus saltatrix', 'Dipturus chilensis', 'Cynoscion guatucupa', 'Squatina guggenheim']"
Engraulis australis,"['unidentified dolphin', 'Pseudophycis bachus', 'Phalacrocorax carbo', 'Phalacrocorax sulcirostris', 'Phalacrocorax varius', 'Platycephalus speculator', 'Pomatomus laevigatus', 'Sarda australis', 'Eudyptula minor', 'Arripis trutta', 'Arripis truttaceus', 'Muraenichthys breviceps', 'Sphyraena novaehollandiae']"
Engraulis capensis,"['Merluccius capensis', 'Merluccius paradoxus', 'Arcocephalus pusillus pusillus', 'Pterogymnus laniarius']"
Engraulis encrasicolus,"['Engraulis encrasicolus', 'Seriola dumerili', 'Trachurus mediterraneus', 'Huso huso', 'Alosa fallax', 'Coryphaena hippurus', 'Etmopterus spinax', 'Merluccius merluccius', 'Ophichthus rufus', 'Scomber scombrus', 'Thunnus thynnus', 'Galeus melastomus', 'Saurida undosquamis', 'Uranoscopus scaber', 'Xiphias gladius', 'Ciliata mustela', 'Oblada melanura', 'Elops lacerta']"
Engraulis japonicus,"['Engraulis japonicus', 'Cynoglossus semilaevis', 'Merluccius capensis', 'Paralichthys olivaceus', 'Engraulis japonicus', 'Spheniscus demersus', 'Sardinops sagax', 'Balaenoptera acutorostrata', 'Balaenoptera edeni', 'Brama japonica', 'Carcharhinus brachyurus', 'Carcharhinus limbatus', 'Carcharhinus obscurus', 'Alcichthys alcicornis', 'Gymnocanthus intermedius', 'Gadus macrocephalus', 'Theragra chalcogramma', 'Thyrsites atun', 'Hexagrammos otakii', 'Lophius litulon', 'Caelorinchus fasciatus', 'Merluccius paradoxus', 'Physiculus japonicus', 'Arctocephalus pusilus', 'Phalacrocorax capensis', 'Phocoenoides dalli', 'Cleisthenes herzensteini', 'Okamejei kenojei', 'Raja clavata', 'Atractoscion aequidens', 'Larimichthys polyactis', 'Sarda orientalis', 'Scomber japonicus', 'Scomberomorus niphonius', 'Thunnus spp.', 'Helicolenus dactylopterus', 'Galeus eastmani', 'Galeus nipponensis', 'Sphyraena pinguis', 'Sphyrna zygaena', 'Squalus acanthias', 'Squalus megalops', 'Sula capensis', 'Triakis scyllium', 'Chelidonichthys capensis', 'Chelidonichthys queketti', 'unidentified', 'Trichiurus lepturus', 'Liparis tanakae']"
Engraulis mordax,"['Lampetra ayresii', 'Engraulis mordax', 'Prionace glauca', 'unidentified', 'Merluccius productus', 'Zalophus californianus', 'Paralichthys californicus', 'Phoca vitulina', 'Oncorhynchus clarki clarki', 'Sarda chiliensis chiliensis', 'Sebastes entomelas', 'Sebastes melanops', 'unidentified shark', 'Triakis semifasciata', 'unidentified', 'Xiphias gladius', 'Thunnus alalunga', 'Thunnus thynnus thynnus', 'Oncorhynchus kisutch', 'Oncorhynchus tshawytscha']"
Engraulis ringens,"['Pelecanus thagus', 'Phalacrocorax bougainvillii', 'Sarda chiliensis chiliensis', 'Sula variegata', 'Trachurus murphyi', 'Trachurus symmetricus', 'Lagenorhynchus obscurus', 'Larus pipixcan', 'Merluccius gayi gayi', 'Merluccius gayi peruanus', 'Arctocephalus australis', 'Otaria flavescens', 'Pelecanus occidentalis thagus', 'Bigua cormorant', 'Phalacrocorax bougainvillii', 'Phalacrocorax brasilianus', 'Phalacrocorax gaimardi', 'Puffinus griseus', 'Scomber japonicus', 'Spheniscus humboldti', 'Larosterna inca', 'Sula nebouxii']"
Enneapterygius minutus,['Enneapterygius minutus']
Enteromius callipterus,"['Lates niloticus', 'Schilbe mystus']"
Enteromius chlorotaenia,"['Hydrocynus forskahlii', 'Lates niloticus', 'Schilbe mystus']"
Enteromius paludinosus,"['Hydrocynus vittatus', 'Micropterus salmoides', 'Serranochromis', 'Hydroprogne tschegrava']"
Entomacrodus nigricans,['Caranx ruber']
Entosphenus tridentatus,"['Rhinichthys osculus', 'Oncorhynchus mykiss', 'Great Blue Heron', 'Prionace glauca', 'Ptychocheilus oregonensis', 'unidentified', 'unidentified', 'Ictalurus punctatus', 'unidentified', 'California sea lions', 'Steller sea lions', 'Pacific Harbor Seal', 'unidentified', 'sperm whale', 'Oncorhynchus kisutch']"
Epigonus denticulatus,['Macruronus novaezelandiae']
Epigonus lenimen,"['Macruronus novaezelandiae', 'Hoplostethus atlanticus']"
Epigonus pandionis,['Merluccius albidus']
Epinephelus guttatus,['Xiphias gladius']
Epinephelus lanceolatus,['Carcharhinus limbatus']
Epinephelus rivulatus,['Carcharhinus limbatus']
Epinephelus striatus,"['Carcharhinus limbatus', 'Carcharhinus perezi', 'Ginglymostoma cirratum', 'Carcharodon carcharias', 'Scomberomorus cavalla', 'Epinephelus striatus', 'Mycteroperca venenosa', 'Sphyraena barracuda']"
Eptatretus stoutii,['Phoca vitulina']
Equulites leuciscus,['Saurida tumbil']
Equulites lineolatus,['Euthynnus affinis']
Eretmodus cyanostictus,['Perissodus microlepis']
Erythrocles schlegelii,['Alepisaurus ferox']
Esomus danrica,['Channa punctata']
Esox americanus,"['Amia calva', 'Morone saxatilis', 'Pomatomus saltator', 'Cynoscion regalis']"
Esox lucius,"['Ichthyomyzon castaneus', 'Petromyzon marinus', 'unidentified', 'unidentified minnow', 'unidentified perch', 'Silurus glanis', 'unidentified', 'unidentified', 'unidentified', 'Esox lucius', 'unidentified', 'unidentified', 'Lutra lutra', 'Perca fluviatilis']"
Esox niger,"['Ichthyomyzon castaneus', 'Petromyzon marinus']"
Etheostoma crossopterum,"['Orconectes sp.', 'Pimephales notatus']"
Etheostoma exile,['Amia calva']
Etheostoma nigrum,"['Anguilla rostrata', 'Micropterus dolomieu', 'Micropterus punctulatus', 'Stizostedion vitreum', 'Salmo trutta trutta', 'Salvelinus namaycush']"
Etheostoma olmstedi,['Pomatomus saltator']
Ethmalosa fimbriata,"['Scomberomorus maculatus', 'Pellonula leonensis', 'Scomberomorus tritor', 'Elops lacerta', 'Elops lacerta']"
Etmopterus schultzi,['Merluccius albidus']
Etropus microstomus,['Lophius americanus']
Etrumeus sadina,"['Alopias superciliosus', 'Carcharhinus falciformis', 'Rhizoprionodon terraenovae', 'Elops machnata', 'Tetrapturus audax', 'Merluccius albidus', 'Paralichthys dentatus', 'Pomatomus saltatrix', 'Argyrosomus hololepidotus', 'Atractoscion aequidens', 'Cynoscion regalis', 'Acanthocybium solandri', 'Euthynnus alletteratus', 'Scomberomorus cavalla', 'Scomberomorus maculatus', 'Squalus acanthias', 'Mustelus canis', 'Lichia amia', 'Makaira mazara']"
Etrumeus whiteheadi,"['Helicolenus dactylopterus', 'Arctocephalus pusillus pusillus', 'Carcharhinus brachyurus', 'Merluccius capensis', 'Raja alba', 'Raja clavata', 'Sphyrna zygaena', 'Squalus acanthias', 'Squalus megalops', 'Chelidonichthys capensis']"
Eubleekeria splendens,"['Lactarius lactarius', 'Saurida tumbil']"
Eucinostomus argenteus,"['Morone saxatilis', 'Scorpaena grandicornis', 'Sphyraena barracuda']"
Eucinostomus gula,['Sphyraena barracuda']
Eucinostomus melanopterus,['Eleotris pisonis']
Eucyclogobius newberryi,['Xenopus laevis']
Eudontomyzon mariae,"['Stizostedion lucioperca', 'Silurus glanis', 'Squalius cephalus', 'Esox lucius']"
Eugerres mexicanus,['Batrachoides goldmani']
Euleptorhamphus velox,"['Anous stolidus', 'Sterna fuscata']"
Eumesogrammus praecisus,['Uria lomvia']
Eumicrotremus orbis,['Gadus macrocephalus']
Eumicrotremus spinosus,['Raja radiata']
Euristhmus lepturus,['cormorants']
Eurypegasus papilio,['Aprion virescens']
Eutaeniophorus festivus,['Alepisaurus ferox']
Euthynnus affinis,"['Carcharhinus sorrah', 'billfishes', 'Thunnus albacares']"
Euthynnus alletteratus,"['Euthynnus alletteratus', 'Yellowfin tuna', 'Yellowfin tuna', 'Thunnus albacares', 'Coryphaena hippurus', 'Istiophorus albicans', 'Makaira nigricans', 'Anous stolidus', 'Sterna fuscata', 'Acanthocybium solandri', 'unidentified shark', 'swordfish']"
Euthynnus lineatus,"['Istiophorus platypterus', 'Makaira nigricans', 'Tetrapturus audax', 'Thunnus albacares', 'unidentified shark']"
Eutrigla gurnardus,"['Conger conger', 'Gadus morhua', 'Melanogrammus aeglefinus']"
Exocoetus monocirrhus,"['Stenella attenuata', 'Thunnus albacares']"
Exocoetus obtusirostris,"['Anous stolidus', 'Sterna fuscata', 'Thunnus albacares']"
Exocoetus volitans,"['Coryphaena hippurus', 'Stenella attenuata', 'Istiophorus platypterus', 'Makaira nigricans', 'Anous stolidus', 'Sterna fuscata', 'Merluccius gayi peruanus', 'Thunnus albacares']"
Favonigobius gymnauchen,['Liparis tanakae']
Favonigobius lateralis,"['Phalacrocorax melanoleucos', 'Phalacrocorax sulcirostris', 'Phalacrocorax varius', 'Platycephalus speculator']"
Filimanus heptadactyla,['Johnius dussumieri']
Fistularia corneta,['Alepisaurus ferox']
Fistularia petimba,['Galeocerdo cuvier']
Fistularia tabacaria,"['Lutjanus analis', 'Mycteroperca bonaci']"
Floridichthys carpio,['Sphyraena barracuda']
Forsterygion varium,['Zeus faber']
Fundulopanchax walkeri,['Nilus sp.']
Fundulus bermudae,"['Anguilla rostrata', 'heron', 'Trachemys scripta elegans', 'Lutjanus griseus', 'Gambusia holbrooki']"
Fundulus chrysotus,['Dolomedes triton']
Fundulus heteroclitus,"['Morone saxatilis', 'Pomatomus saltator', 'Mustelus canis', 'Carcharhinus plumbeus']"
Fundulus parvipinnis,"['Paralichthys californicus', 'Leptocottus armatus']"
Fundulus pulvereus,['Thunnus albacares']
Fundulus relictus,"['Anguilla rostrata', 'herons', 'Lutjanus griseus', 'Gambusia holbrooki']"
Fundulus seminolis,['Morone saxatilis']
Fusigobius neophytus,['Epinephelus merra']
Gadella maraldi,"['Raja clavata', 'Pagellus bogaraveo']"
Gadiculus argenteus,"['Trachurus mediterraneus', 'Conger conger', 'Coryphaena hippurus', 'Merlangius merlangus', 'Micromesistius poutassou', 'Pollachius virens', 'Molva macrophthalma', 'Merluccius merluccius', 'Ophichthus rufus', 'Galeus melastomus', 'Scyliorhinus canicula', 'Zeus faber', 'Gnathophis mystax']"
Gadiculus thori,"['Epigonus telescopus', 'Merluccius merluccius', 'Phoca groenlandica']"
Gadomus arcuatus,['Merluccius albidus']
Gadomus longifilis,['Merluccius capensis']
Gadus chalcogrammus,"['Pterothrissus gissu', 'Fratercula cirrhata', 'Fratercula corniculata', 'Anoplopoma fimbria', 'Balaenoptera acutorostrata', 'Alcichthys alcicornis', 'Myoxocephalus jaok', 'Somniosus pacificus', 'Theragra chalcogramma', 'Hemitripterus villosus', 'Hexagrammos otakii', 'Physiculus japonicus', 'Phoca vitulina', 'Phocoenoides dalli', 'Atheresthes evermanni', 'Hippoglossus stenolepis', 'Pleuronectes bilineatus', 'Reinhardtius hippoglossoides', 'unidentified', 'Bathyraja aleutica', 'Bathyraja maculata', 'Bathyraja parmifera', 'unidentified', 'Sebastes entomelas', 'Eumetopias jubatus', 'Hemilepidotus jordani', 'Myoxocephalus polyacanthocaphalus', 'Gadus macrocephalus', 'Theragra chalcogramma', 'Hemitripterus bolini', 'Pleurogrammus monopterygius', 'Atheresthes stomias', 'Hippoglossoides elassodon', 'Lepidopsetta bilineata', 'Pleuronectes asper', 'Bathyraja parmifera', 'Sebastes alutus', 'Trichodon trichodon']"
Gadus macrocephalus,"['Anoplopoma fimbria', 'Balaenoptera acutorostrata', 'Gadus macrocephalus', 'Theragra chalcogramma', 'Phoca vitulina', 'Hippoglossus stenolepis', 'Reinhardtius stomias', 'Oncorhynchus tshawytscha', 'Gadus ogac']"
Gadus morhua,"['Gadus morhua', 'Eledone cirrhosa', 'Sebastes fasciatus', 'Sebastes mentella', 'Mergus merganser', 'Balaenoptera acutorostrata', 'Phocoena phocoena', 'Tursiops truncatus', 'Merlangius merlangus', 'Pollachius virens', 'Lophius piscatorius', 'Molva molva', 'Myxine glutinosa', 'Petromyzon marinus', 'Halichoerus grypus', 'Phoca groenlandica', 'Phoca vitulina', 'Hippoglossus hippoglossus', 'Reinhardtius hippoglossoides', 'Pomatomus saltatrix', 'Fulmarus glacialis', 'Raja radiata', 'Thunnus thynnus', 'Squalus acanthias', 'Morus bassanus', 'Chelidonichthys gurnardus', 'Xiphias gladius', 'Hippoglossoides platessoides', 'Scomber scombrus', 'Psetta maxima', 'Anarhichas lupus', 'Gadus morhua', 'Clupea harengus', 'Sprattus sprattus', 'Clupea harengus']"
Gaidropsarus argentatus,['Reinhardtius hippoglossoides']
Gaidropsarus biscayensis,"['Trisopterus minutus', 'Molva macrophthalma', 'Galeus melastomus', 'Merluccius merluccius']"
Gaidropsarus guttatus,['Serranus atricauda']
Gaidropsarus macrophthalmus,['Aphanopus carbo']
Gaidropsarus vulgaris,['Conger conger']
Galaxias maculatus,['Anguilla australis australis']
Galaxias olidus,"['Dolomedes sp.', 'Oncorhynchus mykiss', 'Salmo trutta trutta']"
Galaxias zebratus,"['Oncorhynchus mykiss', 'Galaxias zebratus']"
Galeichthys feliceps,"['Carcharhinus limbatus', 'Carcharhinus obscurus', 'Elops machnata', 'Argyrosomus hololepidotus', 'Sphyrna zygaena']"
Galeoides decadactylus,"['Pseudotolithus typus', 'Pseudotolithus senegalensis']"
Galeorhinus galeus,"['Notorynchus cepedianus', 'Zalophus californianus']"
Gambusia affinis,"['Anguilla australis australis', 'Cichla ocellaris', 'Dolomedes okefinokensis', 'Dolomedes triton', 'Gambusia affinis', 'Micropterus salmoides', 'Morone saxatilis']"
Gambusia holbrooki,"['Dolomedes okefinokensis', 'Dolomedes plantarius', 'Dolomedes triton']"
Garra rufa,['Barbus canis']
Gasterosteus aculeatus,"['unidentified', 'Salvelinus alpinus', 'Salvelinus malma malma', 'Anguilla anguilla', 'Cottus gobio', 'Leptocottus armatus', 'Megalocottus platycephalus', 'Esox lucius', 'Merlangius merlangus', 'Lutra lutra', 'Sander lucioperca', 'Platichthys stellatus', 'Bathyraja aleutica', 'Bathyraja matsubarai', 'Oncorhynchus kisutch', 'Salmo trutta trutta', 'Salvelinus alpinus', 'Salvelinus malma malma', 'Salvelinus namaycush', 'unidentified', 'Myoxocephalus scorpius', 'Salmo salar']"
Gavialiceps taiwanensis,['Trichiurus lepturus']
Gazza minuta,"['Megalaspis cordyla', 'Saurida tumbil', 'Trichiurus lepturus']"
Gempylus serpens,"['Coryphaena hippurus', 'Alepisaurus ferox', 'Lagenodelphis hosei', 'Istiophorus albicans', 'Makaira nigricans', 'Tetrapturus albidus', 'Tetrapturus pfluegeri', 'Anous stolidus', 'Sterna fuscata', 'Thunnus albacares', 'Thunnus obesus']"
Genyonemus lineatus,"['Prionace glaucia', 'Zalophus californianus', 'Sarda chiliensis chiliensis', 'Triakis semifasciata']"
Genypterus blacodes,"['Macruronus novaezelandiae', 'Squatina guggenheim', 'Dipturus chilensis']"
Genypterus brasiliensis,"['Istiophorus platypterus', 'Squatina guggenheim']"
Genypterus capensis,"['Merluccius capensis', 'Carcharhinus brachyurus', 'Merluccius paradoxus', 'Raja alba', 'Sphyrna zygaena', 'Arctocephalus pusillus pusillus']"
Genypterus tigerinus,['Mustelus antarcticus']
Geophagus brasiliensis,['Helicops modestus']
Geotria australis,['Diomedea chrysostoma']
Gerlachea australis,['Dissostichus mawsoni']
Gerres cinereus,['Epinephelus striatus']
Gerres filamentosus,['Saurida tumbil']
Gibbonsia elegans,['bass']
Gila cypha,"['Ictalurus punctatus', 'Oncorhynchus mykiss', 'Ameiurus melas']"
Gila ditaenia,['Dolomedes triton']
Gila orcuttii,['Xenopus laevis']
Gilchristella aestuaria,"['Galeichthys feliceps', 'Ceryle rudis', 'Elops machnata', 'Thryssa vitrirostris', 'Hydroprogne tschegrava', 'Pomatomus saltatrix', 'Argyrosomus hololepidotus', 'Argyrosomus hololepidotus', 'Lichia amia', 'Monodactylus falciformis', 'Platycephalus indicus']"
Gillichthys mirabilis,['Paralichthys californicus']
Girella nigricans,['Zalophus californianus']
Girella tricuspidata,"['unidentified', 'Zeus faber']"
Giuris margaritacea,"['Glossamia gjellerupi', 'Oxyeleotris heterodon', 'Megalops cyprinoides']"
Glossamia aprion,"['Acrochordus arafurae', 'Lates calcarifer']"
Glossamia gjellerupi,['Glossamia gjellerupi']
Glossanodon leioglossus,['Ophichthus rufus']
Glossanodon semifasciatus,"['Galeus nipponensis', 'Macrorhamphosodes uradoi']"
Glossogobius giuris,['Channa punctata']
Glyptocephalus cynoglossus,"['Merlangius merlangus', 'Balaenoptera acutorostrata', 'Gadus morhua', 'Lophius americanus', 'Lophius piscatorius', 'Halichoerus grypus', 'Phoca groenlandica', 'Chelidonichthys gurnardus']"
Glyptocephalus zachirus,"['Somniosus pacificus', 'Gadus microcephalus', 'Zalophus californianus', 'Phoca vitulina', 'Reinhardtius stomias']"
Gnathochromis pfefferi,"['Perissodus microlepis', 'Plecodus straeleni']"
Gnatholepis cauerensis,['Cephalopholis argus']
Gnathophis capensis,"['Sphyrna zygaena', 'Helicolenus dactylopterus', 'Chelidonichthys queketti']"
Gobio cynocephalus,['Esox lucius']
Gobio gobio,"['Leuciscus cephalus', 'Esox lucius', 'Hucho hucho']"
Gobioclinus kalisherae,['Aulostomus maculatus']
