,Speed_Measurements
57,https://www.fishbase.de/Physiology/SpeedList.php?ID=3638&GenusName=Phanerodon&SpeciesName=furcatus
58,https://www.fishbase.de/Physiology/SpeedList.php?ID=1342&GenusName=Pleuronectes&SpeciesName=platessa
59,https://www.fishbase.de/Physiology/SpeedList.php?ID=1343&GenusName=Pollachius&SpeciesName=virens
60,https://www.fishbase.de/Physiology/SpeedList.php?ID=5715&GenusName=Pomacentrus&SpeciesName=amboinensis
61,https://www.fishbase.de/Physiology/SpeedList.php?ID=364&GenusName=Pomatomus&SpeciesName=saltatrix
62,https://www.fishbase.de/Physiology/SpeedList.php?ID=1345&GenusName=Pomatoschistus&SpeciesName=minutus
63,https://www.fishbase.de/Physiology/SpeedList.php?ID=898&GenusName=Prionace&SpeciesName=glauca
64,https://www.fishbase.de/Physiology/SpeedList.php?ID=2938&GenusName=Ptychocheilus&SpeciesName=grandis
65,https://www.fishbase.de/Physiology/SpeedList.php?ID=238&GenusName=Salmo&SpeciesName=trutta
66,https://www.fishbase.de/Physiology/SpeedList.php?ID=4796&GenusName=Sarda&SpeciesName=lineolata
67,https://www.fishbase.de/Physiology/SpeedList.php?ID=115&GenusName=Sarda&SpeciesName=sarda
68,https://www.fishbase.de/Physiology/SpeedList.php?ID=2951&GenusName=Scardinius&SpeciesName=erythrophthalmus
69,https://www.fishbase.de/Physiology/SpeedList.php?ID=117&GenusName=Scomber&SpeciesName=japonicus
70,https://www.fishbase.de/Physiology/SpeedList.php?ID=118&GenusName=Scomber&SpeciesName=scombrus
71,https://www.fishbase.de/Physiology/SpeedList.php?ID=129&GenusName=Scomberomorus&SpeciesName=munroi
72,https://www.fishbase.de/Physiology/SpeedList.php?ID=3983&GenusName=Sebastes&SpeciesName=mystinus
73,https://www.fishbase.de/Physiology/SpeedList.php?ID=4002&GenusName=Sebastes&SpeciesName=serranoides
74,https://www.fishbase.de/Physiology/SpeedList.php?ID=5778&GenusName=Sphaeramia&SpeciesName=nematoptera
75,https://www.fishbase.de/Physiology/SpeedList.php?ID=1235&GenusName=Sphyraena&SpeciesName=barracuda
