,Genetics_Records
53,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46586&GenusName=Aequidens&SpeciesName=plagiozonatus
54,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=47969&GenusName=Ageneiosus&SpeciesName=inermis
55,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=36&GenusName=Agonus&SpeciesName=cataphractus
56,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=25971&GenusName=Aidablennius&SpeciesName=sphynx
57,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=13334&GenusName=Ailia&SpeciesName=coila
58,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4875&GenusName=Alburnoides&SpeciesName=bipunctatus
59,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4730&GenusName=Alburnus&SpeciesName=alburnus
60,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=62353&GenusName=Alburnus&SpeciesName=arborella
61,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52610&GenusName=Alburnus&SpeciesName=mossulensis
62,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=61290&GenusName=Alcichthys&SpeciesName=elongatus
63,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2034&GenusName=Alcolapia&SpeciesName=alcalica
64,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2033&GenusName=Alcolapia&SpeciesName=grahami
65,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=988&GenusName=Alectis&SpeciesName=ciliaris
66,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11931&GenusName=Allodontichthys&SpeciesName=hubbsi
67,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11932&GenusName=Allodontichthys&SpeciesName=tamazulae
68,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46426&GenusName=Allodontichthys&SpeciesName=zonistius
69,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11933&GenusName=Alloophorus&SpeciesName=robustus
70,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=46442&GenusName=Allotoca&SpeciesName=diazi
71,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=11934&GenusName=Allotoca&SpeciesName=dugesii
72,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6227&GenusName=Allotoca&SpeciesName=maculata
73,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=101&GenusName=Alosa&SpeciesName=alosa
74,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1578&GenusName=Alosa&SpeciesName=chrysochloris
75,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax
76,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata
77,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1580&GenusName=Alosa&SpeciesName=kessleri
78,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1582&GenusName=Alosa&SpeciesName=mediocris
79,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1583&GenusName=Alosa&SpeciesName=pseudoharengus
80,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1584&GenusName=Alosa&SpeciesName=sapidissima
81,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8727&GenusName=Alphestes&SpeciesName=immaculatus
82,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=8728&GenusName=Alphestes&SpeciesName=multiguttatus
83,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=1081&GenusName=Aluterus&SpeciesName=schoepfii
84,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3615&GenusName=Amatitlania&SpeciesName=nigrofasciata
85,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26768&GenusName=Amatitlania&SpeciesName=septemfasciata
86,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3361&GenusName=Ambloplites&SpeciesName=rupestris
87,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao
88,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6675&GenusName=Amblygobius&SpeciesName=albimaculatus
89,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=24301&GenusName=Amblypharyngodon&SpeciesName=mola
90,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata
91,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6228&GenusName=Ameca&SpeciesName=splendens
92,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3017&GenusName=Ameiurus&SpeciesName=brunneus
93,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3018&GenusName=Ameiurus&SpeciesName=catus
94,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=291&GenusName=Ameiurus&SpeciesName=melas
95,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3021&GenusName=Ameiurus&SpeciesName=natalis
96,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3022&GenusName=Ameiurus&SpeciesName=nebulosus
97,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3023&GenusName=Ameiurus&SpeciesName=platycephalus
98,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3025&GenusName=Ameiurus&SpeciesName=serracanthus
99,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=2600&GenusName=Amia&SpeciesName=calva
100,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3395&GenusName=Ammocrypta&SpeciesName=vivax
101,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4786&GenusName=Amphilophus&SpeciesName=citrinellus
102,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5448&GenusName=Amphiprion&SpeciesName=clarkii
103,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6522&GenusName=Amphiprion&SpeciesName=frenatus
104,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=6509&GenusName=Amphiprion&SpeciesName=ocellaris
105,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52011&GenusName=Anabarilius&SpeciesName=alburnops
106,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52007&GenusName=Anabarilius&SpeciesName=andersoni
107,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52006&GenusName=Anabarilius&SpeciesName=grahami
108,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52002&GenusName=Anabarilius&SpeciesName=macrolepis
109,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=495&GenusName=Anabas&SpeciesName=testudineus
110,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12295&GenusName=Anableps&SpeciesName=dowei
111,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4769&GenusName=Anablepsoides&SpeciesName=hartii
112,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49759&GenusName=Anablepsoides&SpeciesName=holmiae
113,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49782&GenusName=Anablepsoides&SpeciesName=ornatus
114,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=49800&GenusName=Anablepsoides&SpeciesName=urophthalmus
115,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=9538&GenusName=Anaecypris&SpeciesName=hispanica
116,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=278&GenusName=Anchoa&SpeciesName=delicatissima
117,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=545&GenusName=Anchoa&SpeciesName=mitchilli
118,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=12213&GenusName=Ancistrus&SpeciesName=dolichopterus
119,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4727&GenusName=Andinoacara&SpeciesName=pulcher
120,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla
121,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=297&GenusName=Anguilla&SpeciesName=australis
122,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=295&GenusName=Anguilla&SpeciesName=japonica
123,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=296&GenusName=Anguilla&SpeciesName=rostrata
124,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=51222&GenusName=Anodus&SpeciesName=elongatus
125,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=512&GenusName=Anoplopoma&SpeciesName=fimbria
126,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=10766&GenusName=Anostomus&SpeciesName=anostomus
127,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26386&GenusName=Anostomus&SpeciesName=ternetzi
128,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=5403&GenusName=Antennatus&SpeciesName=nummifer
129,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=23432&GenusName=Apareiodon&SpeciesName=affinis
130,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=52505&GenusName=Apareiodon&SpeciesName=ibitiensis
131,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=28259&GenusName=Apareiodon&SpeciesName=piracicabae
132,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=3269&GenusName=Apeltes&SpeciesName=quadracus
133,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=10455&GenusName=Aphanius&SpeciesName=asquamatus
134,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4813&GenusName=Aphanius&SpeciesName=dispar
135,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4834&GenusName=Aphanius&SpeciesName=fasciatus
136,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=4876&GenusName=Aphanius&SpeciesName=iberus
137,https://www.fishbase.de/Genetics/FishGeneticsList.php?ID=26500&GenusName=Aphanius&SpeciesName=mento
