,Relationship_Between_Fish_Brain_Weights_And_Body_Weights
50,https://www.fishbase.de/physiology/BrainsDataList.php?ID=101&GenusName=Alosa&SpeciesName=alosa&fc=43
51,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1577&GenusName=Alosa&SpeciesName=caspia&fc=43
52,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5355&GenusName=Alosa&SpeciesName=fallax&fc=43
53,https://www.fishbase.de/physiology/BrainsDataList.php?ID=105&GenusName=Alosa&SpeciesName=immaculata&fc=43
54,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8135&GenusName=Altolamprologus&SpeciesName=compressiceps&fc=349
55,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4275&GenusName=Aluterus&SpeciesName=scriptus&fc=517
56,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3615&GenusName=Amatitlania&SpeciesName=nigrofasciata&fc=349
57,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15855&GenusName=Amblychaeturichthys&SpeciesName=hexanema&fc=405
58,https://www.fishbase.de/physiology/BrainsDataList.php?ID=15856&GenusName=Amblychaeturichthys&SpeciesName=sciistius&fc=405
59,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5829&GenusName=Amblycirrhitus&SpeciesName=bimacula&fc=352
60,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6671&GenusName=Amblyeleotris&SpeciesName=guttata&fc=405
61,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6520&GenusName=Amblyeleotris&SpeciesName=japonica&fc=405
62,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7195&GenusName=Amblyeleotris&SpeciesName=steinitzi&fc=405
63,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12699&GenusName=Amblyeleotris&SpeciesName=sungami&fc=405
64,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1501&GenusName=Amblygaster&SpeciesName=sirm&fc=43
65,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5477&GenusName=Amblyglyphidodon&SpeciesName=curacao&fc=350
66,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5691&GenusName=Amblyglyphidodon&SpeciesName=leucogaster&fc=350
67,https://www.fishbase.de/physiology/BrainsDataList.php?ID=6675&GenusName=Amblygobius&SpeciesName=albimaculatus&fc=405
68,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7198&GenusName=Amblygobius&SpeciesName=phalaena&fc=405
69,https://www.fishbase.de/physiology/BrainsDataList.php?ID=25417&GenusName=Amblygobius&SpeciesName=semicinctus&fc=405
70,https://www.fishbase.de/physiology/BrainsDataList.php?ID=9256&GenusName=Amblyraja&SpeciesName=hyperborea&fc=19
71,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2565&GenusName=Amblyraja&SpeciesName=radiata&fc=19
72,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2600&GenusName=Amia&SpeciesName=calva&fc=35
73,https://www.fishbase.de/physiology/BrainsDataList.php?ID=13009&GenusName=Amioides&SpeciesName=polyacanthus&fc=304
74,https://www.fishbase.de/physiology/BrainsDataList.php?ID=37&GenusName=Ammodytes&SpeciesName=marinus&fc=402
75,https://www.fishbase.de/physiology/BrainsDataList.php?ID=27549&GenusName=Amoya&SpeciesName=gracilis&fc=405
76,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11836&GenusName=Amphiprion&SpeciesName=allardi&fc=350
77,https://www.fishbase.de/physiology/BrainsDataList.php?ID=11837&GenusName=Amphiprion&SpeciesName=bicinctus&fc=350
78,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4551&GenusName=Amphiprion&SpeciesName=chrysopterus&fc=350
79,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4654&GenusName=Amphiprion&SpeciesName=melanopus&fc=350
80,https://www.fishbase.de/physiology/BrainsDataList.php?ID=7957&GenusName=Anacanthobatis&SpeciesName=marmorata&fc=524
81,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4888&GenusName=Anampses&SpeciesName=caeruleopunctatus&fc=362
82,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5622&GenusName=Anampses&SpeciesName=melanurus&fc=362
83,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4893&GenusName=Anampses&SpeciesName=twistii&fc=362
84,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3810&GenusName=Anarhichas&SpeciesName=denticulatus&fc=396
85,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2501&GenusName=Anarhichas&SpeciesName=lupus&fc=396
86,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3811&GenusName=Anarhichas&SpeciesName=minor&fc=396
87,https://www.fishbase.de/physiology/BrainsDataList.php?ID=35&GenusName=Anguilla&SpeciesName=anguilla&fc=49
88,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1123&GenusName=Anisotremus&SpeciesName=surinamensis&fc=327
89,https://www.fishbase.de/physiology/BrainsDataList.php?ID=1619&GenusName=Anodontostoma&SpeciesName=chacunda&fc=43
90,https://www.fishbase.de/physiology/BrainsDataList.php?ID=2308&GenusName=Anoplogaster&SpeciesName=cornuta&fc=239
91,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8042&GenusName=Antennablennius&SpeciesName=australis&fc=392
92,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5402&GenusName=Antennatus&SpeciesName=coccineus&fc=192
93,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4922&GenusName=Anyperodon&SpeciesName=leucogrammicus&fc=289
94,https://www.fishbase.de/physiology/BrainsDataList.php?ID=646&GenusName=Aphanopus&SpeciesName=carbo&fc=415
95,https://www.fishbase.de/physiology/BrainsDataList.php?ID=81&GenusName=Aphareus&SpeciesName=furca&fc=323
96,https://www.fishbase.de/physiology/BrainsDataList.php?ID=83&GenusName=Aphareus&SpeciesName=rutilans&fc=323
97,https://www.fishbase.de/physiology/BrainsDataList.php?ID=4756&GenusName=Aplocheilus&SpeciesName=panchax&fc=476
98,https://www.fishbase.de/physiology/BrainsDataList.php?ID=5752&GenusName=Apogon&SpeciesName=coccineus&fc=304
99,https://www.fishbase.de/physiology/BrainsDataList.php?ID=3526&GenusName=Apogon&SpeciesName=maculatus&fc=304
100,https://www.fishbase.de/physiology/BrainsDataList.php?ID=8008&GenusName=Apogon&SpeciesName=semiornatus&fc=304
101,https://www.fishbase.de/physiology/BrainsDataList.php?ID=12658&GenusName=Apogonichthyoides&SpeciesName=timorensis&fc=304
