name,Brain weight (mg),SL (cm),TL (cm),speed,Oxygen Consumption at 20°C,Weight,predators
Drombus ocyurus,,,,,,,
Drombus simulus,,,,,,,
Drombus triangularis,18.15,,7.5,,,4.88,
Dunckerocampus baldwini,,,,,,,
Dunckerocampus boylei,,,,,,,
Dunckerocampus chapmani,,,,,,,
Dunckerocampus dactyliophorus,2.6,,,,,0.1,
Dunckerocampus multiannulatus,,,,,,,
Dunckerocampus naia,,,,,,,
Dunckerocampus pessuliferus,5.9,,,,,0.67,
Dussumieria acuta,,,,,,,
Dussumieria elopsoides,121.0,,,,,21.0,['Chirocentrus dorab']
Dysalotus oligoscolus,,,,,,,
Dysomma anguillare,,,,,,,
Dysomma brevirostre,,,,,,,
Dysomma taiwanensis,,,,,,,
Dzihunia amudarjensis,,,,,,,
Ebinania macquariensis,,,,,,,
Ebosia bleekeri,,,,,,,
Ebosia vespertina,,,,,,,
Echelus myrus,,,,,,,
Echelus polyspondylus,,,,,,,
Echelus uropterus,,,,,,,
Echeneis naucrates,1039.0,63.5,73.5,,157.95,1282.5,
Echeneis neucratoides,,,,,,,
Echidna amblyodon,,,,,,,
Echidna catenata,,,,,,,['Sphyraena barracuda']
Echidna delicatula,,,,,,,
Echidna leucotaenia,,,,,,,
Echidna nebulosa,38.5,,28.2,,,35.35,
Echidna nocturna,,,,,,,
Echidna peli,,,,,,,
Echidna polyzona,,,,,,,
Echidna rhodochilus,,,,,,,
Echidna unicolor,,,,,,,
Echidna xanthospilos,,,,,,,
Echiichthys vipera,80.3,11.35,11.5,0.4,294.1,38.5,"['Merlangius merlangus', 'Raja montagui', 'Chelidonichthys gurnardus']"
Echinogobius hayashii,,,,,,,
Echinophryne crassispina,,,,,,,
Echinophryne mitchellii,,,,,,,
Echinophryne reynoldsi,,,,,,,
Echinorhinus brucus,,,,,,,
Echinorhinus cookei,,,,,,,
Echiodon anchipterus,,,,,,,
Echiodon cryomargarites,,,,,,,
Echiodon dawsoni,,,,,,,
Echiodon exsilium,,,,,,,
Echiodon rendahli,,,,,,,
Echiophis brunneus,,,,,,,
Echiophis intertinctus,,,,,,,
Echiophis punctifer,,,,,,,
Echiostoma barbatum,,,,,,,
Eckloniaichthys scylliorhiniceps,,,,,,,
Economidichthys pygmaeus,,,,,,,
Economidichthys trichonis,,,,,,,
Ecsenius aequalis,,,,,,,
Ecsenius alleni,,,,,,,
Ecsenius aroni,,,,,,,
Ecsenius australianus,,,,,,,
Ecsenius axelrodi,,,,,,,
Ecsenius bandanus,,,,,,,
Ecsenius bathi,,,,,,,
Ecsenius bicolor,,,,,,,
Ecsenius bimaculatus,,,,,,,
Ecsenius caeruliventris,,,,,,,
Ecsenius collettei,,,,,,,
Ecsenius dilemma,,,,,,,
Ecsenius fourmanoiri,,,,,,,
Ecsenius frontalis,,,,,,,
Ecsenius gravieri,,,,,,,
Ecsenius kurti,,,,,,,
Ecsenius lineatus,,,,,,,
Ecsenius lividanalis,,,,,,,
Ecsenius lubbocki,,,,,,,
Ecsenius mandibularis,,,,,,,
Ecsenius melarchus,,,,,,,
Ecsenius midas,,,,,,,
Ecsenius monoculus,,,,,,,
Ecsenius nalolo,,,,,,,
Ecsenius namiyei,,,,,,,
Ecsenius oculatus,,,,,,,
Ecsenius oculus,,,,,,,
Ecsenius ops,,,,,,,
Ecsenius opsifrontalis,,,,,,,
Ecsenius paroculus,,,,,,,
Ecsenius pictus,,,,,,,
Ecsenius polystictus,,,,,,,
Ecsenius prooculis,,,,,,,
Ecsenius pulcher,,,,,,,
Ecsenius schroederi,,,,,,,
Ecsenius sellifer,,,,,,,
Ecsenius shirleyae,,,,,,,
Ecsenius stictus,,,,,,,
Ecsenius stigmatura,,,,,,,
Ecsenius taeniatus,,,,,,,
Ecsenius tigris,,,,,,,
Ecsenius tricolor,,,,,,,
Ecsenius trilineatus,,,,,,,
Ecsenius yaeyamaensis,,,,,,,['Fistularia commersonii']
Ectrepopterus uruguayensis,,,,,,,
Ectreposebastes imus,,,,,,,['Alepisaurus ferox']
Ectreposebastes niger,,,,,,,
Eechathalakenda ophicephalus,,,,,,,
Eeyorius hutchinsi,,,,,,,
Egglestonichthys bombylios,,,,,,,
Ehirava fluviatilis,,,,,,,
Eidinemacheilus smithi,,,,,,,
Eigenmannia virescens,,,,,,,
Einara edentula,,,,,,,
Einara macrolepis,,,,,,,
Ekemblemaria myersi,,,,,,,
Ekemblemaria nigra,,,,,,,
Elacatinus atronasus,,,,,,,
Elacatinus cayman,,,,,,,
Elacatinus centralis,,,,,,,
Elacatinus chancei,,,,,,,
Elacatinus colini,,,,,,,
Elacatinus evelynae,,,,,,,
Elacatinus figaro,,,,,,,
Elacatinus genie,,,,,,,
Elacatinus horsti,,,,,,,
Elacatinus illecebrosus,,,,,,,
Elacatinus jarocho,,,,,,,
Elacatinus lobeli,,,,,,,
Elacatinus lori,,,,,,,
Elacatinus louisae,,,,,,,
Elacatinus oceanops,,,,,,,
Elacatinus phthirophagus,,,,,,,
Elacatinus pridisi,,,,,,,
Elacatinus prochilos,,,,,,,
Elacatinus randalli,,,,,,,
Elacatinus serranilla,,,,,,,
Elacatinus tenox,,,,,,,
Elacatinus xanthiprora,,,,,,,
Elagatis bipinnulata,,,,,,,"['Anous stolidus', 'Sterna fuscata']"
Elassodiscus caudatus,,,,,,,
Elassoma alabamae,,,,,,,
Elassoma boehlkei,,,,,,,
Elassoma evergladei,,,,,,,
Elassoma gilberti,,,,,,,
Elassoma okatie,,,,,,,
Elassoma okefenokee,,,,,,,
Elassoma zonatum,,,,,,,"['Pardosa pseudoannulata', 'Dolomedes sp.']"
Elates ransonnettii,,,,,,,
Elattarchus archidium,,,,,,,
Electrolux addisoni,,,,,,,
Electrona antarctica,,,,,,,"['Cygnodraco mawsoni', 'Gymnodraco acuticeps', 'Diomedea chrysostoma', 'Eudyptes chrysolophus', 'Pygoscelis papua', 'Paradiplospinus gracilis', 'Trematomus eulepidotus', 'Arctocephalus gazella', 'Arctocephalus tropicalis', 'Thalassarche chrysostoma', 'Aptenodytes patagonicus']"
Electrona carlsbergi,,,,,,,"['Micromesistius australis', 'Lampris immaculatus', 'Macruronus novaezelandiae', 'Arctocephalus gazella', 'Arctocephalus tropicalis', 'Thalassarche chrysostoma', 'Aptenodytes patagonicus', 'Notolepis sp.']"
Electrona paucirastra,,,,,,,"['Micromesistius australis', 'Macruronus novaezelandiae']"
Electrona risso,,,,,,,"['Beryx splendens', 'Lagenodelphis hosei', 'Stenella longirostris']"
Electrona subaspera,,,,,,,"['Champsocephalus gunnari', 'Micromesistius australis', 'Lampris immaculatus', 'Macruronus novaezelandiae', 'Dissostichus eleginoides', 'Arctocephalus gazella', 'Arctocephalus tropicalis']"
Electrophorus electricus,,,,,,,['Electrophorus electricus']
Eleginops maclovinus,,,,,,,
Eleginus gracilis,,,,,351.15,,"['Platichthys stellatus', 'Megalocottus platycephalus']"
Eleginus nawaga,225.4,,,,,79.76,['Phoca groenlandica']
Eleotrica cableae,,,,,,,
Eleotris acanthopoma,12.466666666666667,,8.0,,,6.756666666666668,['Eleotris acanthopoma']
Eleotris amblyopsis,,,,,,,
Eleotris aquadulcis,,,,,,,
Eleotris fusca,41.23333333333333,,17.2,,,101.43333333333334,
Eleotris lutea,,,,,,,
Eleotris mauritiana,,,,,,,
Eleotris melanosoma,14.695,,11.6,,,15.3,
Eleotris perniger,,,,,,,
Eleotris picta,,,,,,,
Eleotris pisonis,,,,,,,['Eleotris pisonis']
Eleotris sandwicensis,34.266666666666666,,15.5,,,39.066666666666656,
Eleutherochir opercularis,,,,,,,
Eleutheronema rhadinum,,,,,,,
Eleutheronema tetradactylum,,,,,,,"['Lates calcarifer', 'Crocodylus porosus', 'unidentified', 'unidentified']"
Eleutheronema tridactylum,,,,,,,
Ellochelon vaigiensis,402.0,29.0,34.3,,,499.0,
Ellopostoma mystax,,,,,,,
Elopichthys bambusa,,,,,,,
Elops affinis,,,,,,,
Elops hawaiensis,26.9,,27.5,,,111.0,
Elops lacerta,,,,,,,
Elops machnata,,,,,,,"['Haliaeetus vocifer', 'Carcharhinus limbatus']"
Elops saurus,,,,,,,['Carcharhinus leucas']
Elops senegalensis,,,,,,,
Elops smithi,,,,,,,
Ematops randalli,,,,,,,
Embassichthys bathybius,,,,,,,
Embiotoca jacksoni,,,,0.77,,,['Triakis semifasciata']
Embiotoca lateralis,,,,,139.7,,['Sebastes caurinus']
Emblemaria atlantica,,,,,,,
Emblemaria biocellata,,,,,,,
Emblemaria caldwelli,,,,,,,
Emblemaria caycedoi,,,,,,,
Emblemaria culmenis,,,,,,,
Emblemaria diphyodontis,,,,,,,
Emblemaria hyltoni,,,,,,,
Emblemaria hypacanthus,,,,,,,
Emblemaria nivipes,,,,,,,
Emblemaria pandionis,,,,,,,
Emblemaria piratica,,,,,,,
Emblemaria piratula,,,,,,,
Emblemaria walkeri,,,,,,,
Emblemariopsis arawak,,,,,,,
Emblemariopsis bahamensis,,,,,,,
Emblemariopsis bottomei,,,,,,,
Emblemariopsis carib,,,,,,,
Emblemariopsis dianae,,,,,,,
Emblemariopsis diaphana,,,,,,,
Emblemariopsis occidentalis,,,,,,,
Emblemariopsis pricei,,,,,,,
Emblemariopsis randalli,,,,,,,
Emblemariopsis signifer,,,,,,,['Caranx latus']
Emblemariopsis tayrona,,,,,,,
Emmelichthyops atlanticus,,,,,,,
Emmelichthys karnellai,,,,,,,
Emmelichthys nitidus nitidus,,,,,,,
Emmelichthys ruber,,,,,,,
Emmelichthys struhsakeri,,,,,,,['Macrorhamphosodes uradoi']
Empetrichthys latos,,,,,,,
Empetrichthys merriami,,,,,,,
Encheliophis boraborensis,,,,,,,
Encheliophis gracilis,,,,,,,
Encheliophis homei,,,,,88.88333333333333,,
Encheliophis vermicularis,,,,,,,
Encheliophis vermiops,,,,,,,
Enchelycore anatina,,,,,,,
Enchelycore bayeri,30.0,,,,,11.2,
Enchelycore bikiniensis,,,,,,,
Enchelycore carychroa,,,,,,,
Enchelycore kamara,,,,,,,
Enchelycore lichenosa,,,,,,,
Enchelycore nigricans,,,,,,,['Epinephelus striatus']
Enchelycore octaviana,,,,,,,
Enchelycore pardalis,,,,,,,
Enchelycore ramosa,,,,,,,
Enchelycore schismatorhynchus,,,,,,,
Enchelynassa canina,198.0,,73.0,,,555.0,
Enchelyopus cimbrius,169.5,,,,,50.0,"['Trisopterus luscus', 'Trisopterus minutus', 'Lophius americanus', 'Pomatomus saltatrix', 'Chelidonichthys gurnardus', 'Gadus morhua']"
Enchelyurus ater,,,,,,,
Enchelyurus flavipes,,,,,,,
Enchelyurus kraussii,,,,,,,
Encrasicholina devisi,,,,,,,"['Gazza minuta', 'Sphyraena obtusata', 'Sphyraena qenie']"
Encrasicholina gloria,,,,,,,
Encrasicholina heteroloba,,,,,,,"['Johnius dussumieri', 'Gazza minuta', 'Euthynnus affinis', 'Sphyraena obtusata', 'Sphyraena putnamae', 'Saurida tumbil', 'Trichiurus lepturus']"
Encrasicholina intermedia,,,,,,,
Encrasicholina macrocephala,,,,,,,
Encrasicholina oligobranchus,,,,,,,
Encrasicholina punctifer,,,,,,,"['Alepisaurus ferox', 'Canthidermis maculatus', 'Caranx sexfaciatus', 'Decapterus macarellus', 'Elagatis bipinnulata', 'Seriola rivoliana', 'Carcharhinus falciformis', 'Kyphosus cinerascens', 'Kyphosus lembus', 'Lobotes surinamensis', 'Abudefduf vaigiensis', 'Saurida tumbil', 'Terapon theraps']"
Encrasicholina purpurea,,,,,,,['Sphyrna lewini']
Engraulicypris brevianalis,,,,,,,
Engraulicypris sardella,,,,,,,"['Rhamphochromis longiceps', 'Rhamphochromis longiceps', 'Rhamphochromis spp.', 'Bagrus meridionalis', 'Opsaridium', 'Diplotaxodon limnothrissa']"
Engraulicypris spinifer,,,,,,,
Engraulis anchoita,,,,,,,"['Callorhinchus callorhynchus', 'Lagenorhynchus obscurus', 'Stenella frontalis', 'Thyrsitops lepidopoides', 'Merluccius hubbsi', 'Phalacrocorax atriceps', 'Pomatomus saltatrix', 'Dipturus chilensis', 'Cynoscion guatucupa', 'Squatina guggenheim']"
Engraulis australis,,,,,,,"['unidentified dolphin', 'Pseudophycis bachus', 'Phalacrocorax carbo', 'Phalacrocorax sulcirostris', 'Phalacrocorax varius', 'Platycephalus speculator', 'Pomatomus laevigatus', 'Sarda australis', 'Eudyptula minor', 'Arripis trutta', 'Arripis truttaceus', 'Muraenichthys breviceps', 'Sphyraena novaehollandiae']"
Engraulis capensis,,,,,,,"['Merluccius capensis', 'Merluccius paradoxus', 'Arcocephalus pusillus pusillus', 'Pterogymnus laniarius']"
Engraulis encrasicolus,,,,,,,"['Engraulis encrasicolus', 'Seriola dumerili', 'Trachurus mediterraneus', 'Huso huso', 'Alosa fallax', 'Coryphaena hippurus', 'Etmopterus spinax', 'Merluccius merluccius', 'Ophichthus rufus', 'Scomber scombrus', 'Thunnus thynnus', 'Galeus melastomus', 'Saurida undosquamis', 'Uranoscopus scaber', 'Xiphias gladius', 'Ciliata mustela', 'Oblada melanura', 'Elops lacerta']"
Engraulis eurystole,,,,,,,
Engraulis japonicus,,,,,2839.933333333333,,"['Engraulis japonicus', 'Cynoglossus semilaevis', 'Merluccius capensis', 'Paralichthys olivaceus', 'Engraulis japonicus', 'Spheniscus demersus', 'Sardinops sagax', 'Balaenoptera acutorostrata', 'Balaenoptera edeni', 'Brama japonica', 'Carcharhinus brachyurus', 'Carcharhinus limbatus', 'Carcharhinus obscurus', 'Alcichthys alcicornis', 'Gymnocanthus intermedius', 'Gadus macrocephalus', 'Theragra chalcogramma', 'Thyrsites atun', 'Hexagrammos otakii', 'Lophius litulon', 'Caelorinchus fasciatus', 'Merluccius paradoxus', 'Physiculus japonicus', 'Arctocephalus pusilus', 'Phalacrocorax capensis', 'Phocoenoides dalli', 'Cleisthenes herzensteini', 'Okamejei kenojei', 'Raja clavata', 'Atractoscion aequidens', 'Larimichthys polyactis', 'Sarda orientalis', 'Scomber japonicus', 'Scomberomorus niphonius', 'Thunnus spp.', 'Helicolenus dactylopterus', 'Galeus eastmani', 'Galeus nipponensis', 'Sphyraena pinguis', 'Sphyrna zygaena', 'Squalus acanthias', 'Squalus megalops', 'Sula capensis', 'Triakis scyllium', 'Chelidonichthys capensis', 'Chelidonichthys queketti', 'unidentified', 'Trichiurus lepturus', 'Liparis tanakae']"
Engraulis mordax,,,,,,,"['Lampetra ayresii', 'Engraulis mordax', 'Prionace glauca', 'unidentified', 'Merluccius productus', 'Zalophus californianus', 'Paralichthys californicus', 'Phoca vitulina', 'Oncorhynchus clarki clarki', 'Sarda chiliensis chiliensis', 'Sebastes entomelas', 'Sebastes melanops', 'unidentified shark', 'Triakis semifasciata', 'unidentified', 'Xiphias gladius', 'Thunnus alalunga', 'Thunnus thynnus thynnus', 'Oncorhynchus kisutch', 'Oncorhynchus tshawytscha']"
Engraulis ringens,,,,,,,"['Pelecanus thagus', 'Phalacrocorax bougainvillii', 'Sarda chiliensis chiliensis', 'Sula variegata', 'Trachurus murphyi', 'Trachurus symmetricus', 'Lagenorhynchus obscurus', 'Larus pipixcan', 'Merluccius gayi gayi', 'Merluccius gayi peruanus', 'Arctocephalus australis', 'Otaria flavescens', 'Pelecanus occidentalis thagus', 'Bigua cormorant', 'Phalacrocorax bougainvillii', 'Phalacrocorax brasilianus', 'Phalacrocorax gaimardi', 'Puffinus griseus', 'Scomber japonicus', 'Spheniscus humboldti', 'Larosterna inca', 'Sula nebouxii']"
Engyophrys sanctilaurentii,,,,,,,
Engyophrys senta,,,,,,,
Engyprosopon arenicola,,,,,,,
Engyprosopon bellonaensis,,,,,,,
Engyprosopon bleekeri,,,,,,,
Engyprosopon grandisquama,,,,,,,
Engyprosopon hureaui,,,,,,,
Engyprosopon longipterum,,,,,,,
Engyprosopon macrolepis,,,,,,,
Engyprosopon maldivensis,,,,,,,
Engyprosopon natalensis,,,,,,,
Engyprosopon osculus,,,,,,,
Engyprosopon regani,,,,,,,
Engyprosopon rostratum,,,,,,,
Engyprosopon septempes,,,,,,,
Engyprosopon xystrias,,,,,,,
Enigmacanthus filamentosus,,,,,,,
Enigmapercis reducta,,,,,,,
Enneacanthus chaetodon,,,,,,,
Enneacanthus gloriosus,,,,,,,
Enneacanthus obesus,,,,,,,
Enneanectes altivelis,,,,,,,
Enneanectes atrorus,,,,,,,
Enneanectes boehlkei,,,,,,,
Enneanectes carminalis,,,,,,,
Enneanectes deloachorum,,,,,,,
Enneanectes exsul,,,,,,,
Enneanectes flavus,,,,,,,
Enneanectes glendae,,,,,,,
Enneanectes jordani,,,,,,,
Enneanectes macrops,,,,,,,
Enneanectes matador,,,,,,,
Enneanectes quadra,,,,,,,
Enneanectes reticulatus,,,,,,,
Enneanectes wilki,,,,,,,
Enneapterygius abeli,,,,,,,
Enneapterygius atriceps,,,,,,,
Enneapterygius atrogulare,,,,,,,
Enneapterygius bahasa,,,,,,,
Enneapterygius clarkae,,,,,,,
Enneapterygius clea,,,,,,,
Enneapterygius elegans,,,,,,,
Enneapterygius fasciatus,,,,,,,
Enneapterygius flavoccipitis,,,,,,,
Enneapterygius fuscoventer,,,,,,,
Enneapterygius gracilis,,,,,,,
Enneapterygius hemimelas,,,,,,,
Enneapterygius hollemani,,,,,,,
Enneapterygius howensis,,,,,,,
Enneapterygius kermadecensis,,,,,,,
Enneapterygius larsonae,,,,,,,
Enneapterygius leucopunctatus,,,,,,,
Enneapterygius minutus,,,,,,,['Enneapterygius minutus']
Enneapterygius mirabilis,,,,,,,
Enneapterygius miyakensis,,,,,,,
Enneapterygius namarrgon,,,,,,,
Enneapterygius nanus,,,,,,,
Enneapterygius niger,,,,,,,
Enneapterygius nigricauda,,,,,,,
Enneapterygius niue,,,,,,,
Enneapterygius ornatus,,,,,,,
Enneapterygius pallidoserialis,,,,,,,
Enneapterygius pallidus,,,,,,,
Enneapterygius paucifasciatus,,,,,,,
Enneapterygius philippinus,,,,,,,
Enneapterygius pusillus,,,,,,,
Enneapterygius pyramis,,,,,,,
Enneapterygius randalli,,,,,,,
Enneapterygius rhabdotus,,,,,,,
Enneapterygius rhothion,,,,,,,
Enneapterygius rubicauda,,,,,,,
Enneapterygius rufopileus,,,,,,,
Enneapterygius signicauda,,,,,,,
Enneapterygius similis,,,,,,,
Enneapterygius triserialis,,,,,,,
Enneapterygius tutuilae,,,,,,,
Enneapterygius unimaculatus,,,,,,,
Enneapterygius ventermaculus,,,,,,,
Enneapterygius vexillarius,,,,,,,
Enneapterygius williamsi,,,,,,,
Enneapterygius ziegleri,,,,,,,
Enophrys bison,,,,,,,
Enophrys diceraus,,,,,,,
Enophrys lucasi,,,,,,,
Enophrys taurina,,,,,,,
Enoplosus armatus,,,,,,,
Entelurus aequoreus,19.488235294117647,,,,,8.882352941176471,
Enteromius afrohamiltoni,,,,,,,
Enteromius afrovernayi,,,,,,,
Enteromius amatolicus,,,,,,,
Enteromius annectens,,,,,,,
Enteromius anoplus,,,,,,,
Enteromius apleurogramma,,,,,,,
Enteromius argenteus,,,,,,,
Enteromius atkinsoni,,,,,,,
Enteromius barnardi,,,,,,,
Enteromius barotseensis,,,,,,,
Enteromius bifrenatus,,,,,,,
Enteromius brachygramma,,,,,,,
Enteromius breviceps,,,,,,,
Enteromius brevidorsalis,,,,,,,
Enteromius brevipinnis,,,,,,,
Enteromius callipterus,,,,,,,"['Lates niloticus', 'Schilbe mystus']"
Enteromius camptacanthus,,,,,,,
Enteromius cercops,,,,,,,
Enteromius choloensis,,,,,,,
Enteromius dorsolineatus,,,,,,,
Enteromius eutaenia,,,,,,,
Enteromius fasciolatus,,,,,,,
Enteromius gurneyi,,,,,,,
Enteromius haasianus,,,,,,,
Enteromius holotaenia,,,,,,,
Enteromius hulstaerti,,,,,,,
Enteromius innocens,,,,,,,
Enteromius jacksoni,,,,,,,
Enteromius jae,,,,,,,
Enteromius kerstenii,,,,,,,
Enteromius kessleri,,,,,,,
Enteromius lineomaculatus,,,,,,,
Enteromius loveridgii,,,,,,,
Enteromius luikae,,,,,,,
Enteromius macrops,,,,,,,
Enteromius macrotaenia,,,,,,,
Enteromius magdalenae,,,,,,,
Enteromius manicensis,,,,,,,
Enteromius mattozi,,,,,,,
Enteromius mimus,,,,,,,
Enteromius miolepis,,,,,,,
Enteromius motebensis,,,,,,,
Enteromius multilineatus,,,,,,,
Enteromius neefi,,,,,,,
Enteromius neumayeri,,,,,,,
Enteromius nyanzae,,,,,,,
Enteromius olivaceus,,,,,,,
Enteromius pallidus,,,,,,,
Enteromius paludinosus,,,,,,,"['Hydrocynus vittatus', 'Micropterus salmoides', 'Serranochromis', 'Hydroprogne tschegrava']"
Enteromius pellegrini,,,,,,,
Enteromius poechii,,,,,,,
Enteromius quadripunctatus,,,,,,,
Enteromius radiatus,,,,,,,
Enteromius sexradiatus,,,,,,,
Enteromius stigmatopygus,,,,,,,
Enteromius thamalakanensis,,,,,,,
Enteromius toppini,,,,,,,
Enteromius treurensis,,,,,,,
Enteromius trimaculatus,,,,,,,
Enteromius turkanae,,,,,,,
Enteromius unitaeniatus,,,,,,,
Enteromius venustus,,,,,,,
Enteromius viktorianus,,,,,,,
Enteromius viviparus,,,,,,,
Enteromius yongei,,,,,,,
Enteromius zanzibaricus,,,,,,,
Entomacrodus cadenati,,,,,,,
Entomacrodus caudofasciatus,,,,,,,
Entomacrodus chapmani,,,,,,,
Entomacrodus chiostictus,,,,,,,
Entomacrodus corneliae,,,,,,,
Entomacrodus cymatobiotus,,,,,,,
Entomacrodus decussatus,,,,,,,
Entomacrodus epalzeocheilos,40.95,,,,,12.0,
Entomacrodus lighti,,,,,,,
Entomacrodus macrospilus,,,,,,,
Entomacrodus marmoratus,,,,,,,
Entomacrodus nigricans,,,,,,,['Caranx ruber']
Entomacrodus niuafoouensis,,,,,,,
Entomacrodus rofeni,,,,,,,
Entomacrodus sealei,,,,,,,
Entomacrodus stellifer,,,,,,,
Entomacrodus strasburgi,,,,,,,
Entomacrodus striatus,22.8,,,,,2.0,
Entomacrodus textilis,,,,,,,
Entomacrodus thalassinus,,,,,,,
Entomacrodus vermiculatus,74.2,,,,,46.25,
Entomacrodus vomerinus,,,,,,,
Entomacrodus williamsi,,,,,,,
Entosphenus folletti,,,,,,,
Entosphenus lethophagus,,,,,,,
Entosphenus macrostomus,,,,,,,
Entosphenus minimus,,,,,,,
Entosphenus similis,,,,,,,
Entosphenus tridentatus,,,,,,,"['Rhinichthys osculus', 'Oncorhynchus mykiss', 'Great Blue Heron', 'Prionace glauca', 'Ptychocheilus oregonensis', 'unidentified', 'unidentified', 'Ictalurus punctatus', 'unidentified', 'California sea lions', 'Steller sea lions', 'Pacific Harbor Seal', 'unidentified', 'sperm whale', 'Oncorhynchus kisutch']"
Eocallionymus papilio,,,,,,,
Eopsetta grigorjewi,,,,,,,
Eopsetta jordani,,,,,,,
Epalzeorhynchos bicolor,,,,,,,
Epalzeorhynchos frenatus,,,,,,,
Epalzeorhynchos kalopterus,,,,,,,
Epetriodus freddyi,,,,,,,
Ephippion guttifer,,,,,,,
Ephippus goreensis,,,,,,,
Ephippus orbis,,,,,,,
Epibulus brevis,,,,,,,
Epibulus insidiator,297.0,15.15,19.0,,,148.9,
Epigonus affinis,,,,,,,
Epigonus carbonarius,,,,,,,
Epigonus cavaticus,,,,,,,
Epigonus constanciae,,,,,,,
Epigonus denticulatus,,,,,,,['Macruronus novaezelandiae']
Epigonus draco,,,,,,,
Epigonus lenimen,,,,,,,"['Macruronus novaezelandiae', 'Hoplostethus atlanticus']"
Epigonus lifouensis,,,,,,,
Epigonus machaera,,,,,,,
Epigonus macrops,,,,,,,
Epigonus marisrubri,,,,,,,
Epigonus mayeri,,,,,,,
Epigonus occidentalis,,,,,,,
Epigonus okamotoi,,,,,,,
Epigonus pandionis,,,,,,,['Merluccius albidus']
Epigonus pectinifer,,,,,,,
Epigonus robustus,,,,,,,
Epigonus telescopus,503.09090909090907,19.416666666666668,22.066666666666666,,,111.03636363636365,
Epigonus tuberculatus,,,,,,,
Epinephelides armatus,,,,,,,
Epinephelus adscensionis,,,,,,,
Epinephelus aeneus,,,,,,,
Epinephelus akaara,,,,,128.96666666666667,,
Epinephelus albomarginatus,,,,,,,
Epinephelus amblycephalus,,,,,,,
Epinephelus analogus,,,,,,,
Epinephelus andersoni,,,,,,,
Epinephelus areolatus,,,,,,,
Epinephelus awoara,,,,,,,
Epinephelus bilobatus,,,,,,,
Epinephelus bleekeri,,,,,,,
Epinephelus bontoides,,,,,,,
Epinephelus bruneus,,,,,,,
Epinephelus caninus,,,,,,,
Epinephelus chabaudi,,,,,,,
Epinephelus chlorocephalus,,,,,,,
Epinephelus chlorostigma,,,,,,,
Epinephelus cifuentesi,,,,,,,
Epinephelus coeruleopunctatus,,,,,,,
Epinephelus coioides,,,,,,,
Epinephelus corallicola,410.0,22.0,25.5,,,226.0,
Epinephelus costae,,,,,,,
Epinephelus cyanopodus,446.5,24.35,28.1,,,587.5,
Epinephelus daemelii,,,,,,,
Epinephelus darwinensis,,,,,,,
Epinephelus diacanthus,,,,,,,
Epinephelus drummondhayi,,,,,,,
Epinephelus epistictus,,,,,,,
Epinephelus erythrurus,,,,,,,
Epinephelus fasciatomaculosus,,,,,,,
Epinephelus fasciatus,301.5,17.75,21.25,,,157.0,
Epinephelus faveatus,,,,,,,
Epinephelus flavocaeruleus,,,,,,,
Epinephelus fuscoguttatus,,,,,,,
Epinephelus gabriellae,,,,,,,
Epinephelus goreensis,,,,,,,
Epinephelus guttatus,,,,,,,['Xiphias gladius']
Epinephelus heniochus,,,,,,,
Epinephelus hexagonatus,256.0,17.475,20.675,,,126.5,
Epinephelus howlandi,,,,,,,
Epinephelus indistinctus,,,,,,,
Epinephelus irroratus,,,,,,,
Epinephelus itajara,2310.0,,,,,32890.0,
Epinephelus labriformis,,,,,,,
Epinephelus lanceolatus,,,,,,,['Carcharhinus limbatus']
Epinephelus latifasciatus,,,,,,,
Epinephelus lebretonianus,,,,,,,
Epinephelus longispinis,247.0,,,,,65.0,
Epinephelus macrospilos,,,,,,,
Epinephelus maculatus,581.0,33.5,39.85,,,953.3333333333336,
Epinephelus magniscuttis,,,,,,,
Epinephelus malabaricus,104.0,12.2,14.5,,,44.0,
Epinephelus marginatus,,,,,,,
Epinephelus melanostigma,406.0,22.0,25.6,,,274.0,
Epinephelus merra,180.5,13.6,16.04,,,62.91666666666666,
Epinephelus miliaris,,,,,,,
Epinephelus morio,,,,,,,
Epinephelus morrhua,,,,,,,
Epinephelus multinotatus,,,,,,,
Epinephelus ongus,,,,,,,
Epinephelus poecilonotus,,,,,,,
Epinephelus polylepis,,,,,,,
Epinephelus polyphekadion,666.8,40.3,47.0,,,1676.0,
Epinephelus polystigma,,,,,,,
Epinephelus posteli,,,,,,,
Epinephelus quinquefasciatus,,,,,,,
Epinephelus quoyanus,,,,,,,
Epinephelus radiatus,,,,,,,
Epinephelus retouti,,,,,,,
Epinephelus rivulatus,,,,,,,['Carcharhinus limbatus']
Epinephelus sexfasciatus,,,,,,,
Epinephelus socialis,716.0,,,,,1100.0,
Epinephelus spilotoceps,,,,,,,
Epinephelus stictus,,,,,,,
Epinephelus stoliczkae,,,,,,,
Epinephelus striatus,,,,,,,"['Carcharhinus limbatus', 'Carcharhinus perezi', 'Ginglymostoma cirratum', 'Carcharodon carcharias', 'Scomberomorus cavalla', 'Epinephelus striatus', 'Mycteroperca venenosa', 'Sphyraena barracuda']"
Epinephelus suborbitalis,,,,,,,
Epinephelus summana,391.0,20.0,24.0,,,210.0,
Epinephelus tauvina,745.0,36.25,42.0,,,1205.0,
Epinephelus timorensis,,,,,,,
Epinephelus trimaculatus,,,,,,,
Epinephelus trophis,,,,,,,
