Body weight (W; g),Brain weight (B; mg),Encephalization coefficients,Encephalization coefficients 2,SL (cm),TL (cm),Ref,name
7554.545454545455,669.7272727272727,0.12254545454545455,,,,,Anarhichas minor
650.0,170.0,0.262,,,,118717.0,Anguilla anguilla
1067.0,1274.0,1.19,,,,118717.0,Anisotremus surinamensis
43.0,155.0,3.61,,,,,Anodontostoma chacunda
114.5,79.75,0.6970000000000001,,16.1,18.6,,Anoplogaster cornuta
1.3,13.8,10.6,,5.0,5.7,,Antennablennius australis
3.1,12.0,3.87,,3.6,4.3,,Antennatus coccineus
375.0,475.5,2.515,,,,,Anyperodon leucogrammicus
795.7142857142857,680.5714285714286,0.8772857142857143,,83.08333333333333,87.0,,Aphanopus carbo
128.0,719.0,5.64,,19.0,23.0,,Aphareus furca
5200.0,2875.0,0.553,,70.9,87.8,,Aphareus rutilans
0.24933333333333332,13.333333333333334,53.599999999999994,,,,,Aplocheilus panchax
1.3,18.0,14.8,,3.2,4.1,,Apogon coccineus
9.8,50.0,5.1,,,,104901.0,Apogon maculatus
14.3,33.0,2.31,,,,,Apogon semiornatus
11.1,74.0,6.67,,7.2,8.5,,Apogonichthyoides timorensis
139.0,298.0,2.15,,14.7,16.5,11740.0,Apolemichthys arcuatus
229.0,314.0,1.3900000000000001,,17.1,18.5,11740.0,Apolemichthys xanthotis
12.6,39.6,3.14,,7.0,8.0,,Aporops bilinearis
1665.0,2018.0,1.21,,46.0,56.8,,Aprion virescens
1450.0,2787.85,1.92,,,,118717.0,Apristurus sinensis
34.8,171.0,4.91,,,,36657.0,Apteronotus albifrons
17.009999999999998,111.9,7.866000000000001,,,,36657.0,Apteronotus leptorhynchus
2100.0,3026.0,1.44,,,,118717.0,Aptychotrema rostrata
130.525,445.0,20.125,,,,13704.0,Arapaima gigas
79.0,121.5,1.6099999999999999,,,,,Arctozenus risso
10.9,19.9,1.82,,,10.0,11344.0,Arenigobius frenatus
279.5,493.0,2.018333333333333,,29.0,33.5,,Argentina silus
67.33333333333333,203.66666666666666,3.2433333333333336,,20.25,23.5,,Argentina sphyraena
16.5,38.5,2.33,,,,,Argyropelecus aculeatus
5.5,13.5,2.46,,,7.0,,Argyropelecus lychnus
11.05,31.2,3.0225,,7.5,9.0,,Argyropelecus olfersii
310.0,596.5,4.0649999999999995,,25.0,31.3,,Argyrops filamentosus
1800.0,1267.0,0.704,,39.0,48.5,,Argyrops spinifer
33.0,54.6,1.66,,25.0,,,Ariosoma balearicum
10.5,11.5,1.1,,,,,Aristostomias scintillans
194.33333333333334,208.66666666666666,1.2795,,15.533333333333333,19.116666666666667,,Arothron hispidus
66.5,135.5,2.16,,11.0,14.15,,Arothron immaculatus
823.0,388.0,0.472,,,,,Arothron meleagris
233.0,377.0,1.625,,16.8,21.2,104901.0,Arothron nigropunctatus
5775.0,969.0,0.16699999999999998,,51.75,64.0,,Arothron stellatus
11.3,44.7,3.96,,,,,Artediellus uncinatus
20.666666666666668,61.666666666666664,3.25,,,,,Aspidophoroides monopterygius
1.7,22.8,13.4,,,,,Assessor macneilli
1.1400000000000001,6.928571428571429,9.174285714285714,,,4.033333333333333,11344.0,Asterropteryx semipunctata
395.0,320.0,0.809,,,,,Astronotus ocellatus
320.0,940.0,2.94,,,,117392.0,Asymbolus analis
260.0,800.0,3.08,,,,117392.0,Asymbolus rubiginosus
22.664516129032254,75.06451612903226,3.3848387096774193,,13.04137931034483,14.64074074074074,,Atherina presbyter
21.55,102.0,4.875,,10.5,12.55,,Atherinomorus lacunosus
250.0,661.0,2.64,,25.0,30.0,,Atule mate
14.876923076923077,101.81923076923077,7.028846153846154,,8.950000000000001,,117601.76923076923,Aulonocranus dewindti
216.0,387.2,2.71,,43.4,46.3,104901.0,Aulostomus chinensis
136.55,51.95,0.4535,,,22.25,11344.0,Awaous lateristriga
19.3,27.4,2.2665999999999995,,,15.5,11344.0,Awaous ocellaris
36.0,138.25,3.9025,,,,117407.0,Baileychromis centropomoides
