,Eye_Pigment_Records
110,https://www.fishbase.de/physiology/visionlist.php?id=406
111,https://www.fishbase.de/physiology/visionlist.php?id=3181
112,https://www.fishbase.de/physiology/visionlist.php?id=12966
113,https://www.fishbase.de/physiology/visionlist.php?id=4653
114,https://www.fishbase.de/physiology/visionlist.php?id=7816
115,https://www.fishbase.de/physiology/visionlist.php?id=5110
116,https://www.fishbase.de/physiology/visionlist.php?id=5113
117,https://www.fishbase.de/physiology/visionlist.php?id=5112
118,https://www.fishbase.de/physiology/visionlist.php?id=4085
119,https://www.fishbase.de/physiology/visionlist.php?id=993
120,https://www.fishbase.de/physiology/visionlist.php?id=4912
121,https://www.fishbase.de/physiology/visionlist.php?id=4760
122,https://www.fishbase.de/physiology/visionlist.php?id=63
123,https://www.fishbase.de/physiology/visionlist.php?id=4659
124,https://www.fishbase.de/physiology/visionlist.php?id=5703
125,https://www.fishbase.de/physiology/visionlist.php?id=1604
126,https://www.fishbase.de/physiology/visionlist.php?id=2467
127,https://www.fishbase.de/physiology/visionlist.php?id=412
128,https://www.fishbase.de/physiology/visionlist.php?id=3628
129,https://www.fishbase.de/physiology/visionlist.php?id=4086
130,https://www.fishbase.de/physiology/visionlist.php?id=10802
131,https://www.fishbase.de/physiology/visionlist.php?id=5349
132,https://www.fishbase.de/physiology/visionlist.php?id=5348
133,https://www.fishbase.de/physiology/visionlist.php?id=4460
134,https://www.fishbase.de/physiology/visionlist.php?id=6661
135,https://www.fishbase.de/physiology/visionlist.php?id=4923
136,https://www.fishbase.de/physiology/visionlist.php?id=6473
137,https://www.fishbase.de/physiology/visionlist.php?id=7362
138,https://www.fishbase.de/physiology/visionlist.php?id=4461
139,https://www.fishbase.de/physiology/visionlist.php?id=8703
140,https://www.fishbase.de/physiology/visionlist.php?id=3851
141,https://www.fishbase.de/physiology/visionlist.php?id=96
142,https://www.fishbase.de/physiology/visionlist.php?id=5145
143,https://www.fishbase.de/physiology/visionlist.php?id=5742
144,https://www.fishbase.de/physiology/visionlist.php?id=318
145,https://www.fishbase.de/physiology/visionlist.php?id=308
146,https://www.fishbase.de/physiology/visionlist.php?id=69
147,https://www.fishbase.de/physiology/visionlist.php?id=10730
148,https://www.fishbase.de/physiology/visionlist.php?id=2420
149,https://www.fishbase.de/physiology/visionlist.php?id=4781
150,https://www.fishbase.de/physiology/visionlist.php?id=3723
151,https://www.fishbase.de/physiology/visionlist.php?id=3854
152,https://www.fishbase.de/physiology/visionlist.php?id=3594
153,https://www.fishbase.de/physiology/visionlist.php?id=4464
154,https://www.fishbase.de/physiology/visionlist.php?id=2085
155,https://www.fishbase.de/physiology/visionlist.php?id=4925
